title,author,year,group
OPTIMAL TIME-CONSISTENT MONETARY POLICY WITH STATE-DEPENDANT PRICING,"MICHAEL DOTSEY, Federal Reserve Bank of Richmond; ANDREAS HORNSTEIN, Federal Reserve Bank of Richmond",2001,ME
ORGANIZATIONAL SCOPE AND INVESTMENT: EVIDENCE FROM THE DRUG DEVELOPMENT STRATEGIES OF BIOPHARMACEUTICAL FIRMS,"ILAN GUEDJ, MIT; DAVID SCHARFSTEIN, Harvard University and NBER",2004,CF
OWNED IDEAS: WHEN ARE STOCK MARKET RUN-UPS TOO FAST TO BE RATIONAL?,"JOHN LAITNER, University of Michigan; DMITRIY STOLYAROV, University of Michigan",2004,EFEL
PARAMETER UNCERTAINTY AND THE CREDIT RISK OF COLLATERALIZED DEBT OBLIGATIONS,"ERIK HEITFIELD, Federal Reserve Board",2008,AP-RISK
PORTFOLIO CHOICE AND CORPORATE FINANCIAL POLICY WHEN THERE ARE TAX-INTERMEDIATING DEALERS,"ROBERT MCDONALD, Northwestern University",2004,CF
PORTFOLIO CHOICE AND LOCATION OF TRADE,"LEI FENG, McKinsey & Co.; MARK SEASHOLES, UC, Berkeley",2004,AP
PORTFOLIO CHOICE IN A MONETARY OPEN-ECONOMY DSGE MODEL,"CHARLES ENGEL, University of Wisconsin-Madison and NBER; AKITO MATSUMOTO, International Monetary Fund",2005,IFM
PRICE SETTING IN A VARIABLE MACROECONOMIC ENVIRONMENT: EVIDENCE FROM BRAZILIAN CPI,"REBECCA BARROS, IBRE, Getulio Vargas Foundation; MARCO BONOMO, EPGE, Getulio Vargas Foundation; CARLOS CARVALHO, Federal Reserve Bank of New York; SILVIA MATOS, IBRE, Getulio Vargas Foundation",2009,ME
PRICES AND CUSTOMER LOYALTY,"BOYAN JOVANOVIC, University of Chicago and NBER",2004,EFCE
PRIVATE DEBT AND INCOME INEQUALITY: A BUSINESS CYCLE ANALYSIS,"MATTEO IACOVIELLO, Boston College",2005,EFEL
PRODUCTIVITY AND THE DOLLAR,"GIANCARLO CORSETTI, European University Institute; LUCA DEDOLA, European Central Bank; SYLVAIN LEDUC, Federal Reserve Board",2007,EFCE
PRODUCTIVITY GROWTH AND THE PHILLIPS CURVE,"LAURENCE BALL, Johns Hopkins University and NBER; ROBERT MOFFITT, Johns Hopkins University and NBER",2001,ME
"PUBLIC ANNOUNCEMENTS, ADJUSTMENT DELAYS AND THE BUSINESS CYCLE","CHRISTIAN HELLWIG, UC, Los Angeles",2003,EFCE
"PUTTING THE PARTS TOGETHER: TRADE, VERTICAL LINKAGES, AND BUSINESS CYCLE COMOVEMENT","JULIAN DI GIOVANNI, International Monetary Fund; ANDREI LEVCHENKO, International Monetary Fund",2008,IFM
REAL ESTATE AND ITS ROLE IN ASSET PRICING,"CORNELIA KULLMAN, Columbia University",2002,AMRE
REALLY UNCERTAIN BUSINESS CYCLES,"NICHOLAS BLOOM, Stanford University and NBER; MAX FLOETOTTO, Stanford University; NIR JAIMOVICH, Stanford University and NBER",2009,EFCE
RECOVERY BEFORE REDEMPTION? A THEORY OF DELAYS IN SOVEREIGN DEBT RENEGOTIATIONS,"MARK WRIGHT, UC, Los Angeles; David Benjamin, University of Southampton",2008,EFCE
REGRESSION ANALYSIS WITH MANY SPECIFICATIONS: A BOOTSTRAP METHOD FOR ROBUST INFERENCE,"PETER HANSEN, Brown University",2003,EFFE
RESEARCH ON DISCRETIONARY MONETARY POLICY,"AUBHIK KHAN, Federal Reserve Bank of Philadelphia; ROBERT KING, Boston University and NBER; ALEXANDER WOLMAN, Federal Reserve Bank of Richmond",2001,EFCE
RETAIL ZONING AND COMPETITION,"DAVID RIDLEY, Duke University; FRANK SLOAN, Duke University and NBER; YAN SONG, University of North Carolina at Chapel Hill",2008,PERE
ROBIN HOOD AND HIS NOT-SO-MERRY PLAN: CAPITALIZATION AND THE SELF-DESTRUCTION OF TEXAS= SCHOOL FINANCE EQUALIZATION PLAN,"CAROLINE HOXBY, Harvard University and NBER; ILYANA KUZIEMKO, Harvard University",2004,PERE
"SECONDARY MARKETS, RISK, AND ACCESS TO CREDIT: EVIDENCE FROM THE MORTGAGE MARKET","STUART GABRIEL, UC, Los Angeles; STUART ROSENTHAL, Syracuse University",2007,PERE
SEQUENTIAL INTERNATIONAL TRADE,"BEN EDEN, University of Haifa",2002,EFCE
SEQUENTIAL OPTIMAL PORTFOLIO PERFORMANCE: MARKET AND VOLATILITY TIMING,"MICHAEL JOHANNES, Columbia University; NICHOLAS POLSON, University of Chicago; JON STROUD, University of Pennsylvania",2002,AP
SHOCKS AND INSTITUTIONS IN A JOB MATCHING MODEL,"WOUTER DEN HAAN, UC, San Diego and NBER; GAREY RAMEY, UC, San Diego; CHRISTIAN HAEFKE, Universitat Pompeu Fabra",2001,EFCE
SHOULD MACROECONOMIC FORECASTERS LOOK AT HIGH-FREQUENCY FINANCIAL DATA?,"ELENA ANDREOU, University of Cyprus; ANDROS KOURTELLOS, University of Cyprus; ERIC GHYSELS, University of North Carolina at Chapel Hill",2009,EFFE
SHOULD SUBURBS HELP THEIR CENTRAL CITIES?,"ANDREW HAUGHWOUT, Federal Reserve Bank of New York; ROBERT INMAN, University of Pennsylvania and NBER",2002,PERE
"SIGNAL SHOCKS IN BUSINESS CYCLES, AND IMPLICATIONS FOR MONETARY POLICY","LAWRENCE CHRISTIANO, Northwestern University and NBER; Cosmin Ilut, Northwestern University; Roberto Motto, European Central Bank; Massimo Rostagno, European Central Bank",2008,EFCE
"STABILIZATION, COMPETITIVENESS AND RISK-SHARING: A MODEL OF MONETARY INTERDEPENDENCE","PAOLO PESENTI, Federal Reserve Bank of New York and NBER; CEDRIC TILLE, Federal Reserve Bank of New York",2004,IFM
STRATEGIC COMPLEMENTARITIES AND OPTIMAL MONETARY POLICY,"ANDREW LEVIN, Federal Reserve Board; DAVID LOPEZ-SALIDO, Federal Reserve Board; TACK YUN, Federal Reserve Board",2006,EFCE
"SUBPRIME OUTCOMES: RISKY MORTGAGES, HOMEOWNERSHIP EXPERIENCES, AND FORECLOSURES","PAUL WILLEN, Federal Reserve Bank of Boston and NBER; KRISTOPHER GERARDI, Federal Reserve Bank of Boston; ADAM HALE SHAPIRO, Federal Reserve Bank of Boston",2008,PERE
SUBSET TESTS IN GMM WITHOUT ASSUMING IDENTIFICATION,"FRANK KLEIBERGEN, Brown University; SOPHOCLES MAVROEIDIS, Brown University",2007,EFFE
SUBSTITUTION AND RISK AVERSION: IS RISK AVERSION IMPORTANT FOR UNDERSTANDING ASSET PRICES?,"BEN EDEN, Vanderbilt University",2005,EFCE
TAKEOVER BIDS VS. PROXY FIGHTS IN CONTESTS FOR CORPORATE CONTROL,"LUCIAN BEBCHUK, Harvard University and NBER; OLIVER HART, Harvard University and NBER",2002,CF
TECHNICAL TRADING PROFITABILITY IN FOREIGN EXCHANGE MARKETS IN THE 1900'S,"BLAKE LEBARON, Brandeis University and NBER",2000,EFFE
TECHNOLOGY AND THE STOCK MARKET: 1885-1998,"BOYAN JOVANOVIC, New York University and NBER; PETER ROUSSEAU, Vanderbilt University and NBER",2000,EFCE
TECHNOLOGY SHOCKS: NOVEL IMPLICATIONS FOR INTERNATIONAL BUSINESS CYCLES,"ANDREA RAFFO, Federal Reserve Board",2009,IFM
THE ADJUSTMENT OF PRICES AND THE ADJUSTMENT OF THE EXCHANGE RATE,"CHARLES ENGEL, University of Washington and NBER; JAMES MORLEY, University of Washington",2000,IFM
THE ANATOMY OF A HOUSING BUBBLE,"GRACE WONG, University of Pennsylvania",2005,PERE
THE ANATOMY OF A PRICE CUT: DISCOVERING ORGANIZATIONAL SOURCES OF THE COSTS OF PRICE ADJUSTMENT,"MARK ZBARACKI, University of Pennsylvania; MARK BERGEN, University of Minnesota; DANIEL LEVY, Bar-Ilan University",2007,ME
THE BANK AS GRIM REAPER: DEBT COMPOSITION AND RECOVERIES OF DEFAULTED DEBT,"Mark Carey, Federal Reserve Board; Michael Gordy, Federal Reserve Board",2007,CF-RISK
THE CORPORATE WEALTH EFFECT: FROM REAL ESTATE SHOCKS TO CORPORATE INVESTMENT,"THOMAS CHANEY, University of Chicago and NBER; DAVID SRAER, CREST-INSEE; DAVID THESMAR, HEC Paris",2007,PERE
THE CYCLICAL COMPONENT OF US ASSET RETURNS,"DAVID K. BACKUS, New York University and NBER; BRYAN R. ROUTLEDGE, Carnegie Mellon University; STANLEY E. ZIN, Carnegie Mellon University and NBER",2009,EFEL
THE DISTRIBUTION OF WEALTH AND REDISTRIBUTIVE POLICIES,"JESS BENHABIB, New York University; ALBERTO BISIN, New York University",2006,EFCE
THE EFFECTS OF FINANCIAL CONDITIONS ON CAPITAL INVESTMENT AND FINANCING: EVIDENCE FROM VARIATION IN PENSION FUND ASSET PERFORMANCE,"JOSH RAUH, University of Chicago and NBER",2007,CF
THE EFFECTS OF FOREIGN SHOCKS WHEN US INTEREST RATES ARE AT ZERO,"MARTIN BODENSTEIN, Federal Reserve Board; CHRISTOPHER J. ERCEG, Federal Reserve Board; LUCA GUERRIERI, Federal Reserve Board",2009,EFCE
THE EMPIRICAL SADDLEPOINT LIKELIHOOD ESTIMATOR APPLIED TO TWO-STEP GMM,"FALLAW SOWELL, Carnegie Mellon University",2009,EFFE
THE GREAT DEMAND DEPRESSION,"SHARON HARRISON, Barnard College; MARK WEDER, Humboldt University",2002,EFCE
THE IMPORTANCE OF HOLD UP IN CONTRACTING: EVIDENCE FROM A FIELD EXPERIMENT,"ANTOINETTE SCHOAR, MIT and NBER; RAJKAMAL IYER, University of Amsterdam",2008,CF
THE INFLATION-UNEMPLOYMENT TRADE OFF AT LOW INFLATION,"PIERPAOLO BENIGNO, LUISS Guido Carli and NBER; LUCA ANTONIO RICCI, International Monetary Fund",2008,ME
"THE INVESTMENT PERFORMANCE OF HOUSING AND A ""HEDONIC"" SPATIAL EQUILIBRIUM","TRACEY SESLEN, University of Southern California; WILLIAM WHEATON, MIT; HENRY POLLAKOWSKI, MIT",2005,PERE
THE POLITICAL ECONOMY OF HOUSING SUPPLY,"FRANCOIS ORTALO-MAGNE, University of Wisconsin-Madison; ANDREA PRAT, London School of Economics",2006,PERE
THE POWER OF TAKEOVER DEFENSES,"LUCIAN ARYE BEBCHUK, Harvard University and NBER; JOHN COATES IV, Harvard University; GUHAN SUBRAMANIAN, Harvard University",2003,CF
THE PRICE IMPACT OF CURRENCY TRADES: IMPLICATIONS FOR INTERVENTION,"MARTIN EVANS, Georgetown University; RICHARD LYONS, UC, Berkeley and NBER",2000,IFM
THE SUSTAINABILITY OF FISCAL POLICY IN THE UNITED STATES,"HENNING BOHN, UC, Santa Barbara",2005,ME
THE TIME CONSISTENCY OF OPTIMAL MONETARY POLICY WITH HETEROGENEOUS AGENTS,"STEFANIA ALBANESI, Bocconi University",2002,EFCE
"THE URBAN RAT RACE: THICK MARKETS, SIGNALING, AND HOURS WORKED IN BIG CITIES","STUART ROSENTHAL, Syracuse University; WILLIAM STRANGE, University of Toronto",2003,PERE
THE USE OF PREDICTIVE REGRESSIONS AT ALTERNATIVE HORIZONS IN FINANCE AND ECONOMICS,"NELSON MARK, University of Notre Dame and NBER; DONGGYU SUL, University of Auckland",2005,EFFE
TIME-CONSISTENT NO-ARBITRAGE MODELS OF THE TERM STRUCTURE,"MICHAEL BRANDT, University of Pennsylvania and NBER; AMIR YARON, University of Pennsylvania and NBER",2000,EFFE
TIME-CONSISTENT POLICY,"PER KRUSELL, University of Rochester; PAUL KLEIN, Institute for International Economic Studies; JOSE VICTOR RIOS-RULL, University of Pennsylvania and NBER",2001,EFCE
TOTAL FACTOR PRODUCTIVITY AND BARRIERS TO ENTRY,"LEVON BARSEGHYAN, Cornell University",2005,EFCE
TOWARDS A DYNAMIC PRICE INDEX,"RICARDO REIS, Princeton University and NBER",2005,ME
TRACKING GREENSPAN: SYSTEMATIC AND UNSYSTEMATIC MONETARY POLICY REVISITED,"LUCREZIA REICHLIN, ECARES; DOMENICO GIANNONE; LUCA SALA",2002,EFFE
TRADE OPENNESS AND EXCHANGE RATE MISALIGNMENTS,"GUILLERMO CALVO, University of Maryland and NBER; MICHAEL KUMHOF, Stanford University",2003,IFM
UNCERTAINTY AND COMPANY INVESTMENT: AN EMPIRICAL INVESTIGATION USING DATA ON ANALYSTS' PROFIT FORECASTS,"STEPHEN R. BOND, University of Oxford; JASON G. CUMMINS, Federal Reserve Board",2003,ME
UNDERSTANDING INTERNATIONAL PRICE DIFFERENCES USING BARCODE DATA,"CHRISTIAN BRODA, University of Chicago and NBER; DAVID WEINSTEIN, Columbia University and NBER",2008,IFM
"VOTING, OPPORTUNITY COSTS, AND PROPERTY TAXES","NATHAN ANDERSON, University of Illinois at Chicago",2006,PERE
WHEN DOES MICROSTRUCTURE NOISE AFFECT THE ESTIMATION OF ASSET PRICING MODELS?,"ERIC GHYSELS, Pennsylvania State University; ELENA ANDREOU",2001,EFFE
WHERE SHOULD LIQUIDITY BE INJECTED DURING A FINANCIAL CRISIS?,"RICARDO REIS, Columbia University and NBER",2009,EFCE
WHICH INFLATION MEASURE SHOULD THE AUTHORITIES TARGET IN AN OPEN ECONOMY?,"CHRIS ERCEG, Federal Reserve Board; ANDY LEVIN, Federal Reserve Board",2001,EFCE
WHO OWNS THE MEDIA?,"SIMEON DJANKOV, The World Bank; CARLEE MCLEISH, The World Bank; TATIANA NENOVA, The World Bank; ANDREI SHLEIFER, Harvard University and NBER",2001,CF
WHY HAS THE U.S. FINANCIAL SECTOR GROWN SO MUCH? THE ROLE OF CORPORATE FINANCE,"THOMAS PHILIPPON, New York University, NBER, and CEPR",2008,CF
