title,author,discussant,group,organizer,year,duration,start,Tilburg_Rank_unweighted_auth,Tilburg_Rank_weighted_auth,Tilburg_Rank_unweighted_dis,Tilburg_Rank_weighted_dis
DISCRETION IN EXECUTIVE CONTRACTS: THEORY AND EVIDENCE,"KEVIN J. MURPHY, University of Southern California; PAUL OYER, Stanford University",6506527390,CF,Marianne Bertrand; Sendhil Mullainathan,2002,75.0,2002-08-05 10:00:00,23.0,29.0,1.0,1.0
DISTANCE CONSTRAINTS: THE LIMITS OF FOREIGN LENDING IN POOR ECONOMIES,"ATIF MIAN, University of Chicago",6701621055,CF,Denis Gromb; Antoinette Schoar,2004,50.0,2004-07-13 14:40:00,9.0,18.0,143.0,302.0
"DISTRIBUTION MARGINS, IMPORTED INPUTS, AND THE INSENSITIVITY OF THE CPI TO EXCHANGE RATES","LINDA GOLDBERG, Federal Reserve Bank of New York and NBER; JOSE CAMPA, IESE Business School",8943873200;7404268367,IFM,Andrew Rose; Eric Van Wincoop,2006,80.0,2006-07-13 09:00:00,,,7.0,10.0
DIVERSIFICATION AND CAPITAL GAINS TAXES WITH MULTIPLE RISKY ASSETS,"ROBERT DAMMON, Carnegie Mellon University; CHESTER SPATT, Carnegie Mellon University; HAROLD ZHANG, University of North Carolina at Chapel Hill",7401840910,EFEL,Janice Eberly; Deborah Lucas,2004,50.0,2004-07-19 08:45:00,49.333333333333336,119.33333333333333,23.0,37.0
DIVERSIFICATION AND DEVELOPMENT,"MIKLOS KOREN, Harvard University; SILVANA TENREYRO, London School of Economics",8716236500,EFEL,Janice Eberly; Deborah Lucas,2005,50.0,2005-07-20 09:35:00,19.0,131.5,9.0,19.0
DO ASSET PRICES REFLECT FUNDAMENTALS? FRESHLY SQUEEZED EVIDENCE FROM THE FCOJ MARKET,"JACOB BOUDOUKH, New York University and NBER; MATTHEW RICHARDSON, New York University and NBER; ROBERT WHITELAW, New York University and NBER; YUQING SHEN, J.P. Morgan",7006792655,AP,Andrew Ang; Robert Hodrick,2002,60.0,2002-07-18 13:00:00,16.0,28.0,22.0,34.0
DO CENTRAL BANKS RESPOND TO EXCHANGE RATE MOVEMENTS? A STRUCTURAL INVESTIGATION,"THOMAS LUBIK, Johns Hopkins University; FRANK SCHORFHEIDE, University of Pennsylvania",,EFFE,Mark Watson; Kenneth West,2004,60.0,2004-07-16 08:30:00,12.0,16.0,,
DO FINANCIAL COUNSELING MANDATES IMPROVE MORTGAGE CHOICE AND PERFORMANCE? EVIDENCE FROM A LEGISLATIVE EXPERIMENT,"SUMIT AGARWAL, Federal Reserve Bank of Chicago; GENE AMROMIN, Federal Reserve Bank of Chicago; ITZHAK BEN-DAVID, Ohio State University; SOUPHALA CHOMSISENGPHET, Office of the Comptroller of the Currency; DOUG EVANOFF, Federal Reserve Bank of Chicago",7004110147,RISK,Mark Carey; Anil Kashyap; Raghuram Rajan; René Stulz,2009,50.0,2009-07-07 15:50:00,35.0,48.0,7.0,18.0
DO HOUSEHOLDS BENEFIT FROM FINANCIAL DEREGULATION AND INNOVATION? THE CASE OF THE MORTGAGE MARKET,"KRISTOPHER GERARDI, Federal Reserve Bank of Boston; HARVEY S. ROSEN, Princeton University and NBER; PAUL WILLEN, Federal Reserve Bank of Boston and NBER",12805621200,EFEL,Janice Eberly; Deborah Lucas,2007,50.0,2007-07-18 14:55:00,21.0,26.0,2.0,1.5
DO HOUSEHOLDS BENEFIT FROM FINANCIAL DEREGULATION AND INNOVATION? THE CASE OF THE MORTGAGE MARKET,"KRISTOPHER GERARDI, Federal Reserve Bank of Boston; HARVEY ROSEN, Princeton University and NBER; PAUL WILLEN, Federal Reserve Bank of Boston",16446204900,PERE,Joe Gyourko; Chris Mayer; Todd Sinai,2007,60.0,2007-07-25 13:00:00,21.0,26.0,2.0,1.5
DO LOCAL ECONOMIC DEVELOPMENT PROGRAMS WORK? EVIDENCE FROM THE FEDERAL EMPOWERMENTZONE PROGRAM,"PATRICK KLINE, Yale University; MATIAS BUSSO, University of Michigan",23486887800,PERE,Christopher Mayer; Todd Sinai; Joseph Gyourko,2008,60.0,2008-07-22 13:00:00,10.5,13.5,1.0,1.0
"DO MACRO VARIABLES, ASSET MARKETS, OR SURVEYS FORECAST INFLATION BETTER?","MIN WEI, Federal Reserve Board",,EFFE,Mark Watson; Kenneth West,2006,60.0,2006-07-12 08:30:00,,,,
DO MARKETS CARE WHO CHAIRS THE CENTRAL BANK?,"KENNETH KUTTNER, Oberlin College and NBER; ADAM POSEN, Peterson Institute for International Economics",,ME,Christina Romer; David Romer,2007,55.0,2007-07-10 15:00:00,,,,
DO NEWS SHOCKS DRIVE THE BUSINESS CYCLE?,"NIR JAIMOVIC, UC, San Diego; SERGIO REBELO, Northwestern University and NBER",,EFCE,Lawrence Christiano; Martin Eichenbaum,2006,60.0,2006-07-17 10:15:00,16.0,23.0,,
DO REGULATIONS BASED ON CREDIT RATINGS AFFECT A FIRM'S COST OF CAPITAL?,"DARREN KISGEN, Boston College; PHILIP STRAHAN, Boston College and NBER",56327374500,CF,Raghuram G. Rajan; Amir Sufi,2009,35.0,2009-07-06 13:20:00,128.0,303.0,6.0,17.0
DO WOMEN PAY MORE FOR CREDIT? EVIDENCE FROM ITALY,"ALBERTO ALESINA, Harvard University and NBER; FRANCESCA LOTTI, Bank of Italy; PAOLO EMILIO MISTRULLI, Bank of Italy",11239173800,CF,Raghuram G. Rajan; Amir Sufi,2009,35.0,2009-07-07 10:50:00,1.0,1.0,1.0,1.0
DOES A CENTRAL CLEARING COUNTERPARTY REDUCE COUNTERPARTY RISK?,"DARRELL DUFFIE, Stanford University and NBER; HAOIANG ZHU, Stanford University",6602685699,RISK,Mark Carey; Anil Kashyap; Raghuram Rajan; René Stulz,2009,60.0,2009-07-09 09:00:00,3.0,4.0,201.0,241.0
DOES AMBIGUITY MATTER? ESTIMATING ASSET PRICING MODELS WITH A MULTIPLE-PRIORS RECURSIVE UTILITY,"DAEHEE JEONG, Texas A&M University; HWAGYUN KIM, Texas A&M University; JOON Y. PARK, Texas A&M University",57202768608,AP,Stavros Panageas; Monika Piazzesi,2009,60.0,2009-07-09 15:30:00,43.0,63.0,3.0,4.0
DOES CORPORATE DIVERSIFICATION DESTROY VALUE?,"JOHN GRAHAM, Duke University; WOLF LEMMON",6701568246,CF,Steven Kaplan; Luigi Zingales,2000,80.0,2000-08-08 14:00:00,18.0,23.0,9.0,21.0
DOES CORPORATE GOVERNANCE MATTER IN COMPETITIVE INDUSTRIES?,"HOLGER M. MUELLER, New York University, CEPR, and ECGI; XAVIER GIROUD, New York University",6603869069,CF,Raghuram G. Rajan,2008,40.0,2008-07-29 09:00:00,12.0,32.0,126.0,106.0
"DOES CORPORATE GOVERNANCE MATTER? EVIDENCE FROM STOCK PRICES, RETURNS, AND CORPORATE PERFORMANCE IN THE 1990'S","PAUL GOMPERS, Harvard University; JOY ISHII, Harvard University; ANDREW METRICK, Harvard University and NBER",6603277860,CF,Ivo Welch; Gary Gorton,2001,60.0,2001-08-06 11:30:00,1.0,1.0,4.0,4.0
DOES DISTANCE STILL MATTER? THE INFORMATION REVOLUTION IN SMALL BUSINESS LENDING?,"RAGHURAM RAJAN, University of Chicago and NBER; MITCHELL PETERSEN, Northwestern University",6701621055,CF,Steven Kaplan; Luigi Zingales,2000,60.0,2000-08-08 09:00:00,15.0,27.0,,
DOES ECONOMIC DIVERSIFICATION LEAD TO FINANCIAL DEVELOPMENT? EVIDENCE FROM TOPOGRAPHY,"RODNEY RAMCHARAN, International Monetary Fund",23080621700;7201532199,IFM,Andrew Rose; Eric Van Wincoop,2006,80.0,2006-07-14 10:40:00,,,127.0,149.5
DOES FINANCIAL LIBERALIZATION IMPROVE THE ALLOCATION OF INVESTMENT? MICRO EVIDENCE FROM DEVELOPING COUNTRIES,"ARTURO GALINDO, Boston College; FABIO SCHIANTARELLI, Boston College; ANDREW WEISS, Boston University",8320380400,EFEL,Janice Eberly; Deborah Lucas,2001,60.0,2001-07-19 12:30:00,105.33333333333333,206.66666666666666,147.0,106.0
DOES FINANCIAL LIBERALIZATION IMPROVE THE ALLOCATION OF INVESTMENT? MICRO EVIDENCE FROM DEVELOPING COUNTRIES,"ARTURO GALINDO, Boston College; FABIO SCHIANTARELLI, Boston College; ANDREW WEISS, Boston University",8320380400,IFM,Janice Eberly; Deborah Lucas,2001,60.0,2001-07-19 12:30:00,105.33333333333333,206.66666666666666,147.0,106.0
DOES FIRM VALUE MOVE TOO MUCH TO BE JUSTIFIED BY SUBSEQUENT CHANGES IN CASH FLOW?,"MOTOHIRO YOGO, University of Pennsylvania; BORJA LARRAIN, Federal Reserve Bank of Boston",8850820200,EFEL,Janice Eberly; Deborah Lucas,2006,50.0,2006-07-17 15:45:00,6.0,19.0,66.0,182.0
DOES IT PAY TO READ JUNK MAIL? EVIDENCE OF THE EFFECT OF ADVERTISING ON HOME EQUITY CREDIT CHOICES,"SUMIT AGARWAL, Federal Reserve Bank of Chicago; BRENT AMBROSE, Pennsylvania State University",24329697200,PERE,Christopher Mayer; Todd Sinai; Joseph Gyourko,2008,30.0,2008-07-23 08:30:00,32.0,31.0,6.0,18.0
DOES MONETARY POLICY HELP LEAST THOSE WHO NEED IT THE MOST?,"MICHAEL HANSON, Wesleyan University; ERIK HURST, University of Chicago and NBER; KI-YOUNG PARK",7006264503,EFEL,Janice Eberly; Deborah Lucas,2004,60.0,2004-07-20 11:15:00,232.5,238.5,,
DOES SHAREHOLDER COMPOSITION AFFECT STOCK RETURNS?,"EDITH HOTCHKISS, Boston College; DEON STRICKLAND, Ohio State University",7006792655,CF,Steven Kaplan; Luigi Zingales,2000,60.0,2000-08-08 11:30:00,88.5,198.5,21.0,33.0
DOES THE FED POSSESS INSIDE INFORMATION ABOUT THE ECONOMY?,"JON FAUST, Federal Reserve Board; ERIC SWANSON, Federal Reserve Board; JONATHAN WRIGHT, Federal Reserve Board",,ME,Ben Bernanke,2002,60.0,2002-07-16 14:15:00,,,,
DOES THE SOURCE OF CAPITAL AFFECT CAPITAL STRUCTURE?,"MICHAEL FAULKENDER, Washington University in St. Louis; MITCHELL PETERSEN, Northwestern University and NBER",7003382478,CF,Judith Chevalier; Michael Weisbach,2003,50.0,2003-08-05 09:00:00,22.0,26.0,889.0,697.0
DOES URBAN DECAY HARM THE POOR?,"JACOB VIGDOR, Duke University and NBER",6603131574,PERE,Joe Gyourko; Chris Mayer; Todd Sinai,2006,60.0,2006-07-25 16:30:00,17.0,23.0,1.0,1.0
DOING WELL BY DOING GOOD: GREEN OFFICE BUILDINGS,"PIET EICHHOLTZ, Maastricht University; NILS KOK, Maastricht University; JOHN QUIGLEY, UC, Berkeley and NBER",6601926430,PERE,Joe Gyourko; Chris Mayer; Todd Sinai,2009,60.0,2009-07-23 15:30:00,84.66666666666667,236.66666666666666,6.0,17.0
DOTCOM MANIA: A SURVEY OF MARKET EFFICIENCY IN THE INTERNET SECTOR,"ELI OFEK, New York University; MATTHEW RICHARDSON, New York University",7006094907,AP,Kent Daniel; Owen Lamont,2001,60.0,2001-07-21 11:15:00,23.0,33.0,4.0,4.0
DOWN AND OUT: ASSESSING THE WELFARE COSTS OF HOUSEHOLD INVESTMENT MISTAKES,"LAURENT CALVET, HEC Paris and NBER; JOHN CAMPBELL, Harvard University and NBER; PAOLO SODINI, Stockholm School of Economics",56067979000,AP,Ravi Jagannathan; Tano Santos,2006,60.0,2006-07-14 14:15:00,436.3333333333333,588.3333333333334,5.0,7.0
DURABILITY OF OUTPUT AND EXPECTED STOCK RETURNS,"JOAO GOMES, University of Pennsylvania and NBER; LEONID KOGAN, MIT and NBER; MOTOHIRO YOGO, University of Pennsylvania and NBER",55709197700,AP,Jonathan Berk; Robert Novy-Marx,2008,60.0,2008-07-11 11:00:00,5.333333333333333,13.5,175.5,324.5
DURABILITY OF OUTPUT AND EXPECTED STOCK RETURNS,"JOAO F. GOMES, University of Pennsylvania; LEONID KOGAN, MIT and NBER; MOTOHIRO YOGO, University of Pennsylvania and NBER",55896944200,EFEL,Janice Eberly; Deborah Lucas,2007,50.0,2007-07-16 14:55:00,5.333333333333333,13.5,175.5,324.5
DYNAMIC AGENCY AND THE Q THEORY OF INVESTMENT,"PETER DE MARZO, Stanford University; MICHAEL FISHMAN, Northwestern University; ZHIGUO HE, Northwestern University; NENG WANG, Columbia University",24376641200,EFEL,Janice Eberly; Deborah Lucas,2008,60.0,2008-07-15 13:00:00,12.25,22.75,4.0,3.0
DYNAMIC BANK RUNS,"ZHIGUO HE, Northwestern University; WEI XIONG, Princeton University and NBER",8334190300,EFEL,Janice Eberly; Deborah Lucas,2009,50.0,2009-07-13 15:45:00,18.5,30.5,13.0,21.0
DYNAMIC DEBT RUNS,"ZHIGUO HE, University of Chicago; WEI XIONG, Princeton University and NBER",,ME,David Romer,2009,55.0,2009-07-08 15:05:00,13.0,22.5,,
DYNAMIC HIERARCHICAL FACTOR MODELS,"SERENA NG, Columbia University; EMANUEL MOENCH, Federal Reserve Bank of New York; SIMON POTTER, Federal Reserve Bank of New York",,EFFE,Mark Watson; Kenneth West,2009,60.0,2009-07-07 11:00:00,8.0,16.0,,
DYNAMIC MONETARY ECONOMICS: PARADOXES AND A NON-RICARDIAN RESOLUTION,"JEAN-PASCAL BENASSY, CEPREMAP",,EFCE,Lawrence Christiano; Martin Eichenbaum,2007,60.0,2007-07-17 10:15:00,,,,
DYNAMIC OPTIMAL TAXATION WITH PRIVATE INFOMATION,"STEFANIA ALBANESI, Duke University; CHRIS SLEET, University of Iowa",,EFCE,Lawrence Christiano; Martin Eichenbaum,2003,60.0,2003-07-23 10:15:00,38.0,42.0,,
DYNAMIC SEEMINGLY UNRELATED COINTEGRATING REGRESSION,"NELSON MARK, Ohio State University and NBER; MASAO OGAKI, Ohio State University; DONGGYU SUL, University of Auckland",,EFFE,Mark Watson; Kenneth West,2003,60.0,2003-07-18 10:15:00,91.0,126.66666666666667,,
DYNAMICS OF CORPORATE EARNINGS,"ROBERT HALL, Stanford University and NBER",7102998555,EFEL,Janice Eberly; Deborah Lucas,2003,55.0,2003-07-23 16:15:00,2.0,2.0,9.0,20.0
EARNINGS INEQUALITY AND THE BUSINESS CYCLE,"GADI BARLEVY, Federal Reserve Bank of Chicago and NBER; DANI TSIDDON, Tel Aviv University",,EFCE,Lawrence Christiano; Martin Eichenbaum,2004,60.0,2004-07-20 11:30:00,53.0,91.0,,
ECONOMIC CATASTROPHE BONDS,"JOSHUA COVAL, Harvard University and NBER; JAKUB JUREK, Harvard University; ERIK STAFFORD, Harvard University",6603409344,AP,Stefan Nagel; Kenneth Singleton,2007,60.0,2007-07-12 15:30:00,1.0,1.0,3.0,2.0
ECONOMIC GROWTH AND SUBJECTIVE WELL-BEING: REASSESSING THE EASTERLIN PARADOX,"BETSEY STEVENSON, University of Pennsylvania; JUSTIN WOLFERS, University of Pennsylvania and NBER",,ME,Christina Romer; David Romer,2008,55.0,2008-07-11 13:55:00,6.0,18.0,,
EFFICIENCY WAGES AND INTER-INDUSTRY WAGE DIFFERENTIALS,"MICHELE ALEXOPOULOS, University of Toronto",,EFCE,Lawrence Christiano; Martin Eichenbaum,2003,60.0,2003-07-24 11:30:00,30.0,27.0,,
EFFICIENCY WAGES AND THE BUSINESS CYCLE,"MICHELLE ALEXOPOULOS, University of Toronto",,EFCE,Lawrence Christiano; Martin Eichenbaum,2000,60.0,2000-07-26 10:15:00,30.0,27.0,,
EFFICIENT ESTIMATION OF THE PARAMETER PATH IN UNSTABLE TIME SERIES MODELS,"ULRICH MUELLER, Princeton University; PHILIPPE-EMMANUEL PETALAS, Princeton University",,EFFE,Mark Watson; Kenneth West,2005,60.0,2005-07-12 09:45:00,20.0,24.0,,
EFFICIENT FISCAL POLICY AND AMPLIFICATION,"MARK AGUIAR, Federal Reserve Bank of Boston; MANUEL AMADOR, Stanford University; GITA GOPINATH, University of Chicago and NBER",6603477130;55245909000,IFM,Sebastian Edwards; Roberto Rigobon,2005,80.0,2005-07-13 09:00:00,5.5,10.5,47.0,82.5
EFFICIENT PREDICTIVE REGRESSIONS,"JONATHAN WRIGHT, Federal Reserve Board",,EFFE,Mark Watson; Kenneth West,2008,60.0,2008-07-08 11:00:00,,,,
EFFICIENT TESTS OF STOCK RETURN PREDICTABILITY,"JOHN CAMPBELL, Harvard University and NBER; MOTOHIRO YOGO, Harvard University",7006465007,AP,John Heaton; Leonid Kogan,2003,60.0,2003-07-18 14:15:00,1.0,1.0,6.0,18.0
ELASTICITY OPTIMISM,"JEAN IMBS, HEC Lausanne; ISABELLE MEJEAN, Ecole Polytechnique",7202998173;8544896700,IFM,Linda Goldberg; Nelson Mark,2008,80.0,2008-07-07 09:00:00,215.5,378.0,12.0,32.0
EMPIRICAL AND POLICY PERFORMANCE OF A FORWARD-LOOKING MONETARY MODEL,"ALEXEI ONATSKI, Columbia University; NOAH WILLIAMS, Princeton University",,EFCE,Lawrence Christiano; Martin Eichenbaum,2004,60.0,2004-07-23 09:00:00,17.0,22.0,,
EMPIRICAL ASSET PRICING AND STATISTICAL POWER IN THE PRESENCE OF WEAK RISK FACTORS,"CRAIG BURNSIDE, Duke University and NBER",,EFFE,Mark Watson; Kenneth West,2008,60.0,2008-07-10 08:30:00,13.0,22.0,,
EMPIRICAL BAYES FORECASTS OF ONE TIME SERIES USING MANY PREDICTORS,"JAMES STOCK, Harvard University and NBER; MARK WATSON, Princeton University and NBER",,EFFE,Francis Diebold; Kenneth West,2000,60.0,2000-07-19 09:30:00,11.5,9.5,,
EMPIRICAL EXCHANGE RATE MODELS OF THE NINETIES: ARE ANY FIT TO SURVIVE?,"YIN- WONG CHEUNG, UC, Santa Cruz; MENZIE D. CHINN, UC, Santa Cruz and NBER; ANTONIO GARCIA PASCUAL, International Monetary Fund",6602929281,IFM,Allan Drazen; Nouriel Roubini,2003,60.0,2003-07-15 10:15:00,98.0,68.0,48.0,55.0
"ENDOGENOUS INFORMATION, MENU COSTS AND INFLATION PERSISTENCE","YURIY GORODNICHENKO, UC, Berkeley",,ME,Christina Romer; David Romer,2007,55.0,2007-07-13 13:00:00,3.0,2.0,,
"ENTREPRENEURIAL ACTIVITY, RISK, AND THE BUSINESS CYCLE","ADRIANO RAMPINI, Northwestern University",6701606939,EFEL,Janice Eberly; Deborah Lucas,2001,50.0,2001-07-19 14:00:00,20.0,34.0,28.0,31.0
ENTREPRENEURIAL FINANCE AND NON-DIVERSIFIABLE RISK,"HUI CHEN, MIT; JIANJUN MIAO, Boston University; NENG WANG, Columbia University",24764534000,EFEL,Janice Eberly; Deborah Lucas,2009,50.0,2009-07-14 14:55:00,17.333333333333332,22.666666666666668,,
ENTREPRENEURIAL RISK AND AGGREGATE INVESTMENT DYNAMICS,"ANDREA CAGGESE, Universitat Pompeu Fabra",6603158120,EFEL,Janice Eberly; Deborah Lucas,2005,50.0,2005-07-20 08:45:00,87.0,289.0,42.0,56.0
ENTRY AND INEFFICIENCY IN THE REAL ESTATE BROKERAGE INDUSTRY: EMPIRICAL EVIDENCE AND POLICY IMPLICATIONS,"LU HAN, University of Toronto; SEUNG HYUN HONG, University of Illinois at Urbana-Champaign",6603092424,PERE,Christopher Mayer; Todd Sinai; Joseph Gyourko,2008,60.0,2008-07-22 10:00:00,25.0,28.0,82.0,351.0
EQUILIBRIUM AND GOVERNMENT COMMITMENT,"MARCO BASSETTO, University of Minnesota",,EFCE,Lawrence Christiano; Martin Eichenbaum,2001,60.0,2001-07-24 09:30:00,28.0,31.0,,
EQUILIBRIUM STICKY PRICES,"ROBERT HALL, Stanford University and NBER",,ME,Christina Romer; David Romer,2007,55.0,2007-07-13 13:55:00,2.0,3.0,,
EQUITY MARKETS AND INSTITUTIONS: THE CASE OF JAPAN,"JULIAN FRANKS, London Business School, CEPR, and ECGI; COLIN MAYER, University of Oxford, CEPR, and ECGI; HIDEAKI MIYAJIMA, Waseda University, WIAS, and RIETI",7406326915,CF,Raghuram G. Rajan,2008,33.333333333333336,2008-07-29 15:00:00,192.66666666666666,276.6666666666667,,
ESTABLISHING CREDIBILITY: EVOLVING PERCEPTIONS OF THE EUROPEAN CENTRAL BANK,"LINDA GOLDBERG, Federal Reserve Bank of New York and NBER; MICHAEL KLEIN, Tufts University and NBER",,ME,Christina Romer; David Romer,2006,55.0,2006-07-10 14:15:00,101.0,95.0,,
ESTIMATING EXCHANGE RATE EQUATIONS USING ESTIMATED EXPECTATIONS,"RAY FAIR, Yale University",,EFFE,Mark Watson; Kenneth West,2008,60.0,2008-07-11 11:00:00,5.0,6.0,,
ESTIMATING FIRM-LEVEL RISK,"FRANCOIS GOURIO, Boston University",36451373500,EFEL,Janice Eberly; Deborah Lucas,2008,60.0,2008-07-15 14:15:00,37.0,45.0,18.0,35.0
"ESTIMATING RETURNS TO EMERGING MARKET LENDING, 1970-2000","CHRISTOPH KLINGEN, International Monetary Fund; BEATRICE WEDER, University of Mainz; JEROMIN ZETTLEMEYER, International Monetary Fund",7102972123,IFM,Kathryn Dominguez; Allan Drazen,2002,60.0,2002-07-19 11:30:00,251.0,205.0,95.0,65.0
ESTIMATING STOCHASTIC VOLATILITY DIFFUSIONS USING CONDITIONAL MOMENTS OF INTEGRATED VOLATILITY,"TIMOTHY BOLLERSLEV, Duke University and NBER; HAO ZHOU, Duke University",,EFFE,Francis Diebold; Kenneth West,2000,60.0,2000-07-18 11:00:00,18.0,23.0,,
ESTIMATING THE EFFECT OF HIERARCHIES ON INFORMATION USE,"JOSE LIBERTI, London Business School; ATIF MIAN, University of Chicago and NBER",7402750873,CF,Dirk Jenter; Raymond Fisman,2006,60.0,2006-08-01 13:00:00,98.0,251.0,1.0,1.0
ESTIMATING THE EULER EQUATION FOR OUTPUT,"JEFFREY C. FUHRER, Federal Reserve Bank of Boston; GLENN D. RUDEBUSCH, Federal Reserve Bank of San Francisco",,ME,Christina D. Romer; David H. Romer,2003,60.0,2003-07-15 14:15:00,,,,
ESTIMATION OF MARKOV REGIME-SWITCHING REGRESSION MODELS WITH ENDOGENOUS SWITCHING,"CHANG-JIN KIM, Korea University; JEREMY PIGER, Federal Reserve Bank of St. Louis; RICHARD STARTZ, University of Washington",,EFFE,Mark Watson; Kenneth West,2003,60.0,2003-07-16 10:15:00,198.5,326.5,,
EULER EQUATION METHODS FOR DISCRETE CHOICE MODELS: A CAPITAL ACCUMULATION APPLICATION,"RUSSELL COOPER, Boston University and NBER; JOHN HALTIWANGER, University of Maryland and NBER; JONATHAN WILLIS, Federal Reserve Bank of Kansas City",55147487400,EFEL,Janice Eberly; Deborah Lucas,2008,60.0,2008-07-15 15:30:00,29.5,36.5,3.0,4.0
EUROPEAN CENTRAL BANK PROJECT ON INFLATION PERSISTENCE IN THE EURO AREA: A PROGRESS REPORT,"IGNAZIO ANGELONI, European Central Bank",,ME,Christina D. Romer; David H. Romer,2004,45.0,2004-07-13 14:10:00,,,,
EUROSYSTEM MONETARY TARGETING: LESSONS FROM U.S. DATA,"LARS SVENSSON, Stockholm University and NBER; GLENN RUDEBUSCH, Federal Reserve Bank of San Francisco",,ME,N. Gregory Mankiw,2000,60.0,2000-07-20 13:00:00,122.0,165.0,,
EVALUATING AND INVESTING IN EQUITY MUTUAL FUNDS,"LUBOS PASTOR, University of Chicago; ROBERT STAMBAUGH, University of Pennsylvania and NBER",6603889672,AP,John Cochrane,2000,60.0,2000-07-20 10:15:00,8.0,20.0,12.0,11.0
EVALUATING THE COSTS OF BUSINESS CYCLES IN MODELS OF ENDOGENOUS GROWTH,"GADI BARLEVY, Northwestern University",,EFCE,Lawrence Christiano; Martin Eichenbaum,2000,60.0,2000-07-24 10:15:00,21.0,33.0,,
EVALUATING THE ECONOMIC SIGNIFICANCE OF DOWNWARD NOMINAL WAGE RIGIDITY,"MICHAEL ELSBY, University of Michigan",,ME,Christina Romer; David Romer,2006,55.0,2006-07-13 15:05:00,15.0,22.0,,
EVALUATING THE NON-LINEARITY OF THE FINANCIAL ACCELERATOR,"FABIO NATALUCCI, Federal Reserve Board; ANDREW LEVIN, Federal Reserve Board; EGON ZAKRAJSEK, Federal Reserve Board",,EFCE,Lawrence Christiano; Martin Eichenbaum,2003,60.0,2003-07-22 10:15:00,,,,
EVIDENCE ON THE TRADEOFF BETWEEN RISK AND RETURN FOR IPO AND SEO FIRMS,"ALON BRAV, Duke University; RONI MICHAELY, Cornell University; MICHAEL ROBERTS, University of Pennsylvania; REBECCA ZARUTSKIE, Duke University",7403075430,CF,Dirk Jenter; Raymond Fisman,2006,60.0,2006-08-02 14:15:00,12.5,18.5,1.0,1.0
EXCHANGE RATE PASS-THROUGH INTO IMPORT PRICES: A MACRO OR MICRO PHENOMENON,"JOSE CAMPA, New York University and NBER; LINDA GOLDBERG, Federal Reserve Bank of New York and NBER",7005702132,IFM,Kathryn Dominguez; Michael Dooley,2001,100.0,2001-07-17 09:00:00,23.0,33.0,6.0,18.0
EXCHANGE RATE PREDICTABILITY AND MONETARY FUNDAMENTALS IN A SMALL MULTI-COUNTRY PANEL,"JAN J.J. GROEN, Bank of England",,EFFE,Mark Watson; Kenneth West,2003,60.0,2003-07-18 09:00:00,,,,
EXCHANGE RATES AND FUNDAMENTALS,"CHARLES ENGEL, University of Wisconsin-Madison and NBER; KENNETH WEST, University of Wisconsin-Madison and NBER",6701710674,IFM,Kathryn Dominguez; Allan Drazen,2002,60.0,2002-07-15 09:00:00,453.0,,42.0,75.0
EXCHANGE RATES AND PRODUCER PRICES: EVIDENCE FROM MICRO-DATA,"DOIREANN FITZGERALD, Stanford University; STEFANIE HALLER, ESRI",6602929281,IFM,Linda Goldberg; Nelson Mark,2008,60.0,2008-07-08 08:30:00,3.0,4.0,44.0,59.0
EXCHANGE RATES AND PRODUCER PRICES: EVIDENCE FROM MICRO-DATA,"DOIREANN FITZGERALD, Stanford University",,ME,Christina Romer; David Romer,2008,55.0,2008-07-07 13:00:00,3.0,4.0,44.0,59.0
EXHUMING Q: MARKET POWER VS. CAPITAL MARKET PERFECTIONS,"RUSS COOPER, Boston University and NBER; JOAO EJARQUE, University of Copenhagen",6602669176,EFEL,Janice Eberly; Deborah Lucas,2001,60.0,2001-07-18 13:00:00,55.5,69.0,64.0,71.0
EXPECTATIONS HYPOTHESES TESTS,"GEERT BEKAERT, Columbia University, NBER; ROBERT HODRICK, Columbia University, NBER",6505885011,AP,John Cochrane,2000,30.0,2000-07-19 13:00:00,15.0,22.0,9.0,21.0
EXPECTED STOCK RETURNS AND VARIANCE RISK PREMIA,"TIM BOLLERSLEV, Duke University and NBER; HAO ZHOU, Federal Reserve Board",23037784200,AP,Stefan Nagel; Kenneth Singleton,2007,60.0,2007-07-12 14:15:00,17.0,23.0,6.0,19.0
EXPLAINING WHY SO MANY HOUSEHOLDS DO NOT SAVE,"ANNAMARIA LUSARDI, Dartmouth College",,ME,N. Gregory Mankiw,2000,60.0,2000-07-18 13:00:00,94.0,133.0,,
EXTERNAL FINANCE CONSTRAINTS AND THE INTERTEMPORAL PATTERN OF INTERMITTENT INVESTMENT,"TONI WHITED, University of Iowa",7404338428,EFEL,Janice Eberly; Deborah Lucas,2002,50.0,2002-07-22 15:15:00,59.0,63.0,40.0,44.0
"EXTERNALITIES FROM RENT CONTROL? EVIDENCE FROM CAMBRIDGE, MA","DAVID AUTOR, MIT and NBER; CHRISTOPHER PALMER, MIT; PARAG PATHAK, MIT and NBER",6603131574,PERE,Joe Gyourko; Chris Mayer; Todd Sinai,2009,60.0,2009-07-22 15:30:00,4.0,3.0,1.0,1.0
FACTOR-GMM ESTIMATION WITH LARGE SETS OF POSSIBLY WEAK INSTRUMENTS,"MASSIMILIANO MARCELLINO, Bocconi University",,EFFE,Mark Watson; Kenneth West,2008,60.0,2008-07-10 09:45:00,169.0,555.0,,
