eid,year,group,has_discussion,references,journals
2-s2.0-84871190542,2005,CF,1,79956264841|27544515879|65349128142|0042674101|0013413658|0037332214|32644446800|43949159746|64149127784|0008744302|0039372633|15944391877|0000211393|33845790377|0030078208|33645072225,"Journal of Finance|Review of Financial Studies|Review of Financial Studies|Journal of Finance|Journal of Finance|Quarterly Journal of Economics|Journal of Law, Economics, and Organization|Journal of Financial Economics|Review of Economic Studies|Journal of Finance|Journal of Business|Journal of Finance|Journal of Financial Economics|Journal of Financial Economics|Journal of Financial Economics|Journal of Finance"
2-s2.0-84877090313,2001,AP,1,38949092058|0040197221|0000069353|84971896379|0034403599|0039561990|0002078678|18044395198|0001675669|0041669468|84977737676|38549147867|0013413658|84974486861|84993650709|0000774157|84959812265|0038176749|0039372663|84977408304|84993907227|84877100059|0039657043|84993869066|84977707554|84916929634|0037761333|0346907827|0006818286,Journal of Economic Theory|Journal of Financial Economics|Journal of Financial Economics|Journal of Financial and Quantitative Analysis|Journal of Financial and Quantitative Analysis|Journal of Finance|Journal of Financial Economics|Journal of Financial Economics|Journal of Financial Economics|Journal of Finance|The Journal of Finance|Journal of Financial Economics|Journal of Finance|Journal of Financial and Quantitative Analysis|The Journal of Finance|Journal of Financial Economics|Quarterly Journal of Economics|Review of Financial Studies|Journal of Finance|The Journal of Finance|The Journal of Finance|Journal of Financial Economics|Journal of Finance|The Journal of Finance|The Journal of Finance|The Journal of Finance|Quarterly Journal of Economics|Journal of Finance|Journal of Finance
2-s2.0-84872783804,2007,EFCE,0,0037276441|0012547988|84963034558|0000925282|84959812265|0038968532|85015256306|84959795218|0000658129|50249098652|8744220281|0001016042|0040182533|0039594868|0002190490|0001254757|0020335993,Econometrica|Journal of Economic Theory|Review of Economic Studies|Journal of Monetary Economics|Quarterly Journal of Economics|Journal of Economic Literature|Journal of Political Economy|Review of Economic Studies|Journal of Economic Literature|Journal of Economic Theory|Journal of Economic Literature|Review of Economic Studies|International Economic Review|Journal of Finance|Econometrica|Journal of Monetary Economics|Journal of Environmental Economics and Management
2-s2.0-84943808608,2008,EFCE,0,79952190241|84875528350|70149119009|0001097029|70449089152|15844392342|0040364531|0001532134|0346279155|34249002656|71549158840|58149301572|49449113956|34547777356|0000507406|70149088411|2442527511|49649131398|40149101860|70149083897|70149084997|0036867964|84920589275|77955918175|49449094876|77956599252|82455217436|84866534168|84893366083|33750828079,"Review of Economic Dynamics|Econometrica|American Economic Review|American Economic Review|Handbook of Macroeconomics|Journal of Political Economy|Journal of Economic Literature|Journal of Monetary Economics|NBER Macroeconomics Annual|Journal of Political Economy|Econometrica|Review of Economic Studies|Quarterly Journal of Economics|Journal of Monetary Economics|Journal of Monetary Economics|American Economic Review|American Economic Review|Journal of Economic Theory|Review of Economic Dynamics|Journal of Monetary Economics|American Economic Review|Quarterly Journal of Economics|American Economic Review|Journal of Economic Theory|Quarterly Journal of Economics|Quarterly Journal of Economics|Journal of Money, Credit and Banking|Journal of Money, Credit and Banking|Review of Economic Studies|Journal of Monetary Economics"
2-s2.0-74949122801,2006,EFCE,0,4544375139|34248676697|70449530457|33947136794|0030115873|15844392342|43949153336|0036275141|33645256077|33746208859|0036147398|0033963790|0011040969|45849088342|15244363192|77956739087|0042341336,Journal of Monetary Economics|Journal of Economic Theory|Handbook of Macroeconomics|Portuguese Economic Journal|Journal of Monetary Economics|Journal of Political Economy|Carnegie-Rochester Confer. Series on Public Policy|Review of Economic Dynamics|European Economic Review|Journal of Political Economy|Journal of Monetary Economics|European Economic Review|Journal of Monetary Economics|American Economic Review|Journal of Monetary Economics|Handbook of Macroeconomics|Carnegie-Rochester Confer. Series on Public Policy
2-s2.0-84866644725,2008,AP,1,0036221468|81255144576|77956108252|55349107277|33646382246|0026116433|84977729854|84989730031|0000735805|0030452013|78650552631|84977737676|84860470205|0001477763|0031529223|0002426025|3843118606|0035681734|77951205998|0009662024|46549099071|85013983658|1642369685|0000060427|15844380214|0039296385,Journal of Financial Economics|Journal of Finance|American Economic Review|Brookings Papers on Economic Activity|Quarterly Journal of Economics|SIAM Journal on Control and Optimization|The Journal of Finance|Naval Research Logistics (NRL)|Journal of Political Economy|Journal of Political Economy|Review of Financial Studies|The Journal of Finance|Quarterly Journal of Economics|Econometrica|Annals of Statistics|Journal of Economic Literature|Biometrika|Journal of Political Economy|Journal of Financial Economics|Journal of Finance|Journal of Monetary Economics|Handbook of the Equity Risk Premium|Econometrica|Biometrika|Journal of Political Economy|Brookings Papers on Economic Activity
2-s2.0-84878148273,2008,AP,1,0001918323|4344674622|33646382246|70349346498|55349107277|79957945831|84862589052|0032771542|84954974222|0042674102|78650552631|0001668150|38149144032|52249111619|34250890715|0003164748|84860470205|44949237074|54049121330|0000425816|0040186059|46149129689|0012462939|19144370592,Journal of Monetary Economics|Journal of Finance|Quarterly Journal of Economics|American Economic Review|Brookings Papers on Economic Activity|Journal of Financial Economics|American Economic Review|Journal of Political Economy|Quarterly Journal of Economics|Journal of Finance|Review of Financial Studies|Econometrica|Journal of Mathematical Economics|Mathematical Finance|Journal of Financial Economics|Journal of Financial Economics|Quarterly Journal of Economics|American Economic Review|Finance Research Letters|Journal of Financial Economics|Journal of Finance|Journal of Financial Economics|Journal of Finance|Journal of Financial Economics
2-s2.0-77956122704,2007,IFM,1,84990172291|0025584684|84925081595,"Economic Journal|American Economic Review|Global Capital Markets: Integration, Crisis, and Growth"
2-s2.0-84886291495,2006,IFM,1,80052941221|33947532208|34250338969|79956310037|41849126436|0001640038|43949150183|66149171626|33947259745|85017165577|34247372674|85113565552|10844282904|67349287024|0009098751|84990172291|44949290086|33745822013|0036219398|0001890195|34547298143|0000057116|0027759190|34347377327|0025584684|84960609322|2642570954|69249154220,Quarterly Journal of Economics|Journal of Political Economy|Journal of International Money and Finance|Journal of Economic Theory|American Economic Review|American Economic Review|Carnegie-Rochester Confer. Series on Public Policy|Handbook of Economic Growth|Quarterly Journal of Economics|American Economic Journal: Macroeconomics|Econometrica|Journal of Comparative Policy Analysis: Research and Practice|International Journal of Finance and Economics|Journal of Development Economics|International Economic Review|Economic Journal|Journal of Monetary Economics|Review of Economic Studies|Econometrica|Quarterly Journal of Economics|American Economic Review|Journal of Economic Dynamics and Control|American Economic Review|Journal of International Economics|American Economic Review|Quarterly Journal of Economics|Econometrica|Journal of Political Economy
2-s2.0-78650308060,2009,EFEL,1,0033270858|77956767363|0000829544|0000789987|33745841282|37649023213|0033652771|0036116031|84977723030|32544454993|70249108918|51749100246|18044403859|0012875458|0040362553|67449106311|19944408944|34547890741|15744398631|0035586709|0001717704|84960566039|33845293198|0000124595|28244478078|47749124164|84993907215,Review of Financial Studies|Handbook of Macroeconomics|American Economic Review|American Economic Review|Review of Economic Studies|Journal of Financial Economics|Journal of Political Economy|Review of Financial Studies|The Journal of Finance|Journal of Financial Economics|Financial Management|Journal of Finance|Journal of Business|American Economic Review|Journal of Finance|Journal of Financial Economics|Journal of Finance|Journal of Finance|Journal of Business|Journal of Financial and Quantitative Analysis|Journal of Econometrics|Quarterly Journal of Economics|Journal of Financial Economics|The Journal of Finance|Journal of Finance|Journal of Finance|The Journal of Finance
2-s2.0-46049107582,2006,CF,1,27344449180|33746589105|0344585453|0034465125|77957186796|0030640113|0040212676|19144372011|33744535902|34248225915|10944260107|0037677811|33645971000|0040304511|0000318873|84977721089|0034359528|0346938269|0001503097|0032416910|49449125071|0001775095|84993839747|0001051586|84977737536|0008360896,"Journal of Political Economy|Journal of the European Economic Association|Journal of Finance|World Bank Economic Review|World Bank Economic Review|Journal of Financial Economics|Journal of Finance|Journal of Financial Economics|Journal of International Money and Finance|Journal of Finance|Journal of Finance|Quarterly Journal of Economics|Australian Journal of Agricultural and Resource Economics|Journal of Finance|Journal of Financial Economics|The Journal of Finance|Journal of Law, Economics, and Organization|Journal of Business|Journal of Finance|Journal of Political Economy|Journal of Financial Economics|Journal of Financial Economics|The Journal of Finance|American Economic Review|The Journal of Finance|Oxford Economic Papers"
2-s2.0-84863815945,2006,EFCE,0,27344449181|21844504524|84962996696|0002661989|44149091631|33748933217|0028588795|34250836195|39549095419|0043269774|33646441024|34250858825|34547325303|56949084755|4243088649|0030687523|0001140573|46549094093|21244446575|34547713618|0037600455|12944327413|0036212678|40749147831|84959804554|58149270787,Journal of Political Economy|Quarterly Journal of Economics|Review of Economic Studies|Journal of Public Economics|American Economic Review|Journal of Monetary Economics|Journal of Political Economy|Journal of Political Economy|Journal of Monetary Economics|Review of Economic Studies|Journal of Political Economy|NBER Macroeconomics Annual|American Economic Review|Review of Economic Dynamics|Journal of Political Economy|Journal of Political Economy|Journal of Economic Dynamics and Control|Journal of Public Economics|NBER Macroeconomics Annual|Carnegie-Rochester Confer. Series on Public Policy|Review of Economic Studies|Oxford Economic Papers|Econometrica|Review of Economic Studies|Review of Economic Studies|American Economic Review
2-s2.0-0036997692,2001,AP,1,0001918323|0029799404|0032370891|0036693732|0032771542|43549117863|84890656542|0001691088|0001660676|0000853427|0040834635|4243088649|0043137717|0031067288|0000339532|46549099071|84959826005|84977707955|38249014139|0030137587,Journal of Monetary Economics|American Economic Review|Review of Financial Studies|Journal of Political Economy|Journal of Political Economy|Journal of Financial Economics|The Econometrics of Financial Markets|Journal of Political Economy|Journal of Economic Theory|Journal of Financial Economics|Journal of Finance|Journal of Political Economy|NBER Macroeconomics Annual|Journal of Economic Dynamics and Control|Journal of Financial Economics|Journal of Monetary Economics|Review of Economic Studies|The Journal of Finance|Journal of Monetary Economics|Journal of Financial Economics
2-s2.0-0042920982,2001,EFCE,0,0002478627|0002584850|0001273562|0031670190|84985855289|15244363192|0000507406|0000924403|43949165060,Journal of Economic Theory|American Economic Review|Journal of Monetary Economics|European Economic Review|Economic Inquiry|Journal of Monetary Economics|Journal of Monetary Economics|Journal of Monetary Economics|Carnegie-Rochester Confer. Series on Public Policy
2-s2.0-42149098701,2005,CF,1,0037403545|84960569930|0002624840|0001551506|0242433408|34547653983|0032979621|27744525054|43449119202|33646375435|33646445477|77952373089|85047681862|15544363361|31444437070|0035190899|8344249471|34248138058|20844457969|34247106647|21344485041|0029298420,"Journal of Financial Economics|Quarterly Journal of Economics|Journal of Finance|Journal of Political Economy|American Economic Review|Quarterly Journal of Economics|Journal of Political Economy|Econometrica|B.E. Journal of Theoretical Economics|Quarterly Journal of Economics|Journal of Political Economy|Quarterly Journal of Economics|Journal of Personality and Social Psychology|Quarterly Journal of Economics|Quarterly Journal of Economics|Games and Economic Behavior|Econometrica|Journal of Finance|Journal of Economic Theory|Journal of Economic Theory|Journal of Personality and Social Psychology|Journal of Experimental Psychology: Learning, Memory, and Cognition"
2-s2.0-34547662433,2003,CF,1,4344602136|0042481764|0041360394|0001778789|84977364496|84963086963|0030527404|19944383776|0007980134|0037677811|0033652771|44949270586|0012875458|2442526582|0000923818|0036151371|0040613622|5144226209|0002432433|0000180018|2542442925|0003112060,Journal of Finance|Journal of Finance|Quarterly Journal of Economics|Journal of Monetary Economics|American Economic Review|Quarterly Journal of Economics|Review of Economics and Statistics|Journal of Finance|American Economic Review|Quarterly Journal of Economics|Journal of Political Economy|Journal of Financial Economics|American Economic Review|Journal of Business|Journal of Banking and Finance|Review of Economic Dynamics|Journal of The Japanese and International Economies|Journal of Economic Perspectives|Journal of Financial Economics|Journal of Economic Literature|Journal of Political Economy|Quarterly Journal of Economics
2-s2.0-78249272965,2008,EFEL,1,1942533418|0001393537|0035642059|0001778789|38249033570|84981865845|33947627035|84977718809|33644860967|4544362915|33845706110|35448941497|33846205687|47749120440|24344500595|36049035583|61549132112|84993843447|0040194172|30844433546|33847648929|13844262848|0000737515|0034985889|85039784843|0031474088|0001105480,"Review of Economic Studies|Econometrica|Review of Financial Studies|Journal of Monetary Economics|Journal of Economic Theory|American Economic Review|Review of Economic Studies|The Journal of Finance|Quarterly Journal of Economics|Journal of Political Economy|Review of Financial Studies|Review of Financial Studies|Journal of Finance|Review of Economic Studies|Econometrica|Journal of Monetary Economics|Review of Financial Studies|The Journal of Finance|Journal of Money, Credit and Banking|American Economic Review|Journal of Monetary Economics|Journal of Economic Theory|Review of Economic Studies|Econometrica|Macroeconomics in the Small and the Large: Essays on Microfoundations, Macroeconomic Applications and Economic History in Honor of Axel Leijonhufvud|Journal of Political Economy|Review of Economic Studies"
2-s2.0-63849144441,2006,EFFE,0,0014629731|33747056903|84945763545|3042774758|18044404766|0346307302|0032251520|0038002643|9744265710|0034367314|84952504842|22544482931|63849133341|0033211669|0036005160|2442579426,"Operational Research Quarterly|Journal of Money, Credit and Banking|Econometric Reviews|Journal of Econometrics|Journal of Econometrics|Economics Letters|Brookings Papers on Economic Activity|Management Science|Journal of Forecasting|Econometric Theory|Journal of Business and Economic Statistics|Journal of Money, Credit and Banking|Oxford Bulletin of Economics and Statistics|Journal of Monetary Economics|Journal of Business and Economic Statistics|Journal of Economic Literature"
2-s2.0-34247545804,2005,ME,0,0036986129|14944345158|25644451968|22644450289|3142778740|28244441727|0036864181|0040897332|0033196058|21744461834|33748540035|2942700268|0031161375|4043145030|33644784949|0013082741,"Oxford Review of Economic Policy|Brookings Papers on Economic Activity|Journal of Money, Credit and Banking|Journal of Common Market Studies|Journal of Money, Credit and Banking|Economic Journal|Economic Journal|Journal of Monetary Economics|Journal of Common Market Studies|Federal Reserve Bank of St. Louis Review|International Journal of Finance and Economics|American Economic Review|Journal of Monetary Economics|American Economic Review|Journal of Money, Credit and Banking|American Economic Review"
2-s2.0-12144283943,2002,AP,1,0037403545|0039698146|0142219304|33749638253|84993845943|0042334065|0039084784|0000110377|0141942643|0013469684|0040196030|0013020712|84977736029|0000177414|0007888467|0141866991|0000183976|0002307601|0037775381,Journal of Financial Economics|Journal of Finance|Journal of Finance|Journal of Financial Economics|The Journal of Finance|Journal of Financial Economics|Journal of Financial Economics|Journal of Financial Economics|Journal of Business|Quarterly Journal of Economics|Journal of Finance|Journal of Political Economy|The Journal of Finance|Journal of Business|Journal of Finance|Journal of Financial Economics|The Journal of Finance|Journal of Finance|Journal of Business
2-s2.0-21244446232,2001,AMRE,1,0026482656|0024569535|0001130317|0001070312|0001707565|0000708573|0001265680|0040481570|0000599415|0000942688|0039460170|0039993929|0001187515|0001960232|84977427532|0002566032|0024783296|38249021880,Urban Studies|American Economic Review|Journal of Urban Economics|Regional Science and Urban Economics|Journal of Urban Economics|Journal of Housing Economics|Brookings Papers on Economic Activity|Quarterly Journal of Economics|Journal of Housing Economics|Journal of the American Statistical Association|Journal of Business and Economic Statistics|Journal of Economic Behavior and Organization|Oxford Bulletin of Economics and Statistics|Journal of Economic Perspectives|Economic Inquiry|Journal of Urban Economics|Regional Science and Urban Economics|European Economic Review
2-s2.0-29344444221,2003,CF,1,0000790309|0040805988|0039012108|0142157031|84993923489|0041607669|10944234993|19944398575|0031066567|25844490154|0000117006|0031482616|0040531752|0013468441|0034372684|0001250001|0040790517|0142250304|84977723575|0033442404|84952209977|48549110620|84993914974|84862244566|0036187185|10944250834|0346307687,Journal of Accounting and Economics|Journal of Business|Journal of Finance|Journal of Finance|The Journal of Finance|Financial Analysts Journal|Journal of Finance|Journal of Finance|Journal of Financial Economics|Journal of Finance|Journal of Financial Economics|Review of Financial Studies|Journal of Finance|Journal of Finance|RAND Journal of Economics|Journal of Accounting and Economics|Financial Management|Journal of Finance|The Journal of Finance|Review of Financial Studies|Journal of Business and Economic Statistics|Journal of Financial Economics|The Journal of Finance|Quarterly Journal of Economics|Journal of Banking and Finance|Journal of Finance|Econometrica
2-s2.0-84891662965,2009,AP,1,0039147416|0347354948|0037244925|84865041801|0029799404|84993918841|4344674622|34250782431|0040348531|0009713512|0344839169|0000735805|0032771542|0039619893|0036997692|84863000283|0008598944|70350295881|0030452013|51749119590|0030637289|23944458111|84977737676|38549147867|0007801061|84977723543|84908440483,Journal of Finance|Journal of Econometrics|Econometrica|Journal of Financial Economics|American Economic Review|The Journal of Finance|Journal of Finance|Journal of Finance|Journal of Finance|Journal of Financial Economics|Journal of Financial Economics|Journal of Political Economy|Journal of Political Economy|Journal of Finance|Journal of Political Economy|Review of Financial Studies|Journal of Econometrics|Journal of Applied Econometrics|Journal of Political Economy|Review of Financial Studies|Journal of Economic Theory|Journal of Finance|The Journal of Finance|Journal of Financial Economics|Journal of Financial Economics|The Journal of Finance|Review of Financial Studies
2-s2.0-84872446107,2003,EFEL,1,49149144624|85071221106|84962999023|0009093975|0242676960|0033652771|0038831386|0012875458|0011657833|33847183837|0000180018|0003112060|0039011997|6344223701|48549110620|68249159913,Carnegie-Rochester Confer. Series on Public Policy|Econometric Reviews|Review of Economic Studies|Journal of Finance|Review of Economic Dynamics|Journal of Political Economy|Quarterly Journal of Economics|American Economic Review|Journal of Public Economics|Journal of Financial Economics|Journal of Economic Literature|Quarterly Journal of Economics|Quarterly Journal of Economics|Journal of Finance|Journal of Financial Economics|Journal of Finance
2-s2.0-79960454315,2008,EFFE,0,0035628153|0039805537|0039447737|0742271636|49449105428|0000118629|0000251971|53649083271,Brookings Papers on Economic Activity|Journal of Applied Econometrics|Review of Economics and Statistics|Journal of Business and Economic Statistics|Review of Financial Studies|American Economic Review|Biometrika|Journal of Econometrics
2-s2.0-84857996269,2009,EFEL,1,84959845015|77955057180|77955050937|57049099252|62749203638|53349178024|20444379856|20444400894|53349101627|84960552346|84959767852|20444394073,"Review of Economic Studies|Macroeconomics in the Small and the Large: Essays on Microfoundations, Macroeconomic Applications and Economic History in Honor of Axel Leijonhufvud|Journal of Monetary Economics|Journal of Money, Credit and Banking|Journal of Political Economy|American Economic Review|Review of Economics and Statistics|American Economic Review|American Economic Review|Review of Economic Studies|Quarterly Journal of Economics|American Economic Review"
2-s2.0-4344682046,2000,PERE,1,85005305538|0040435486|0039619859|84993924992|0040249760|0031404408|0034128535|0007884883|0034861189|0002550734|0031321757|0033246977|0039120737|0036116031|0036149983|0242626585|0000318873|0030099669|0000831857|84993865817|0031101160|0033442404|49049133343|48549110620|0009895248|84993839747,Quarterly Journal of Economics|Journal of Finance|Quarterly Journal of Economics|The Journal of Finance|Journal of Economics and Finance|Quarterly Journal of Economics|Journal of Political Economy|Journal of Finance|Journal of Political Economy|Econometrica|Real Estate Economics|Real Estate Economics|Journal of Finance|Review of Financial Studies|Economic Journal|Review of Financial Studies|Journal of Financial Economics|Journal of Financial Economics|American Economic Review|The Journal of Finance|Journal of Financial Economics|Review of Financial Studies|Journal of Economic Theory|Journal of Financial Economics|Journal of Finance|The Journal of Finance
2-s2.0-0012462939,2000,AP,1,0033409775|0344839169|0000735805|84890656542|0032771542|0001024957|84954974222|68249136965|0002056097|34250890715|38249017010|33751189676|0032342633|0005495431|0010962742|0345510809|0000337210|0035681734|84993914996|0033474605,Review of Financial Studies|Journal of Financial Economics|Journal of Political Economy|The Econometrics of Financial Markets|Journal of Political Economy|Journal of Monetary Economics|Quarterly Journal of Economics|Journal of Business and Economic Statistics|Journal of Financial Economics|Journal of Financial Economics|Journal of Monetary Economics|Journal of Monetary Economics|Journal of Business and Economic Statistics|Journal of Finance|Journal of Finance|Journal of Economic Dynamics and Control|Journal of Finance|Journal of Political Economy|The Journal of Finance|Journal of Financial Economics
2-s2.0-15844380214,2003,AP,1,4344570778|0036184128|23944484942|4344674622|0009713512|84977729854|0000735805|77956771554|0030452013|0031372198|0002078678|84959823198|84977737676|38549147867|43949159894|0346279155|0030545862|0010274340|85017108575|84890663370|0010962742|0041181133|0040633111|0013020712|0012462939|0035681734,Journal of Finance|Journal of Political Economy|Journal of Finance|Journal of Finance|Journal of Financial Economics|The Journal of Finance|Journal of Political Economy|Handbook of Macroeconomics|Journal of Political Economy|Macroeconomic Dynamics|Journal of Financial Economics|Quarterly Journal of Economics|The Journal of Finance|Journal of Financial Economics|Journal of Financial Economics|NBER Macroeconomics Annual|Journal of Business and Economic Statistics|Journal of Finance|Econometrica|Econometrics|Journal of Finance|Journal of Finance|Journal of Finance|Journal of Political Economy|Journal of Finance|Journal of Political Economy
2-s2.0-44249088335,2004,AP,1,33745186187|77957229596|23944484942|4344674622|49149136203|85016078433|0009713512|0000735805|0032771542|16244386207|0031372198|84977737676|38549147867|0040205313|1842842964|0016997122|29344442351,Econometrica|Journal of the European Economic Association|Journal of Finance|Journal of Finance|Journal of Monetary Economics|American Economic Review|Journal of Financial Economics|Journal of Political Economy|Journal of Political Economy|American Economic Review|Macroeconomic Dynamics|The Journal of Finance|Journal of Financial Economics|Journal of Finance|Journal of Political Economy|Bell J Econ|Review of Financial Studies
2-s2.0-85048279912,2004,AP,1,84855229556|84995770411|83955164209|34247566562|85050796955|34548673534|39749084409|85015692260|25844459759|4644365806|78650979294|0344153911|71949092664|84871212920|77957825396|84975136535|0040160904|12344307626|0011603540|0033477947|0002025238|70349478737|33847186611|79960419905|4344615968|84977723030|0003052370|80052754072|85021110230|84881609437,Journal of Fixed Income|Journal of Multinational Financial Management|Journal of Financial Economics|Financial Analysts Journal|Review of Asset Pricing Studies|Stochastic Processes and their Applications|Review of Financial Studies|Journal of Political Economy|Journal of Finance|Journal of Risk Finance|Journal of Finance|Journal of Finance|Review of Financial Studies|Review of Finance|Journal of Fixed Income|Review of Asset Pricing Studies|Journal of Finance|Review of Financial Studies|Journal of Finance|Review of Financial Studies|Financial Analysts Journal|Journal of Finance|Journal of Financial Economics|Journal of Financial Economics|Review of Financial Studies|The Journal of Finance|The Journal of Finance|Journal of Financial Economics|Management Science|Review of Asset Pricing Studies
2-s2.0-79960412978,2009,AP,1,0345016488|33746832946|0040435486|33746819192|77951214740|60649085809|60649104167|0007980113|33747035196|0042170110|48349095355|16244373041|33746836166|4344650584|51749102179|84977708733|0030452013|47749103670|33746838431|33144459643|38549147867|49449095257|0000318873|1842813970|0041669498|0000612260|0000109380|71949093376|73949120118|84993843481|47749110019|84993919451|12144252864|41649097965,Journal of Financial Research|Journal of Finance|Journal of Finance|Journal of Finance|Review of Financial Studies|Financial Management|Journal of Banking and Finance|Journal of Finance|Journal of Financial and Quantitative Analysis|Journal of Finance|Journal of Financial Economics|Journal of Finance|Journal of Finance|Journal of Finance|Journal of Finance|The Journal of Finance|Journal of Political Economy|Journal of Finance|Journal of Finance|Journal of Business Finance and Accounting|Journal of Financial Economics|Review of Financial Studies|Journal of Financial Economics|Journal of Finance|Journal of Finance|Journal of Financial Economics|Journal of Corporate Finance|Review of Financial Studies|Journal of Political Economy|The Journal of Finance|Review of Financial Studies|The Journal of Finance|Journal of Financial Economics|Journal of Finance
2-s2.0-84911097478,2001,CF,1,84916936900|77958406983|0001852811|0033446833|0041049076|0000069353|0002624840|0346444531|0000380080|0002815497|0034359918|0001650996|0000544450|0035588238|0013533328|84971915463|38549147867|0031066567|0039657044|0013469684|0000357552|0000612260|84993907227|34447504242|0000689190|0003112060,"The Journal of Finance|Journal of Law, Economics, and Organization|Journal of Financial Economics|RAND Journal of Economics|Journal of Finance|Journal of Financial Economics|Journal of Finance|Texas Law Review|Journal of Financial Economics|Journal of Risk and Insurance|Journal of Law, Economics, and Organization|Journal of Financial Economics|Journal of Financial Economics|Journal of Law, Economics, and Organization|Journal of Corporate Finance|Journal of Financial and Quantitative Analysis|Journal of Financial Economics|Journal of Financial Economics|Journal of Finance|Quarterly Journal of Economics|Journal of Economic Perspectives|Journal of Financial Economics|The Journal of Finance|Journal of Financial Economics|Financial Review|Quarterly Journal of Economics"
2-s2.0-84904754170,2008,CF,1,84891450591|73449099954|20444391354|33845697931|84873299081|0037564563|84884114317|84878136180|1342268967|27244453990|0033243697|0344983396|0347902518|84879793262|0000380080|70449350580|0043095579|0003049012|79952778139|0037332214|64849112179|0000176289|0002231899|0003170891|47749147626|80052687117|0000413215,"Review of Financial Studies|Review of Financial Studies|Quarterly Journal of Economics|Journal of the European Economic Association|American Economic Review|Economics Letters|Mostly Harmless Econometrics: An Empiricist's Companion|Journal of Finance|Journal of Law and Economics|Journal of Financial Economics|Journal of Law, Economics, and Organization|Journal of Political Economy|Quarterly Journal of Economics|Journal of Financial Economics|Journal of Financial Economics|Cambridge Journal of Economics|Journal of Finance|Journal of Accounting and Economics|Journal of Finance|Quarterly Journal of Economics|Journal of Economic Literature|Journal of Financial Economics|Research Policy|Journal of Financial Economics|Journal of Finance|Journal of Finance|Review of Economic Studies"
2-s2.0-12344322936,2000,CF,1,0000058833|84977714983|0009952280|0002624840|84993897491|38549147867|84993850751|84950240854|84993843481|0008744302|0009885154|38249017004|33747078364|0031161492|0030160301|4344611533|0002860329|0042780902|38249024786|84944832083|33845790377,Journal of Economic Perspectives|The Journal of Finance|Quarterly Journal of Economics|Journal of Finance|The Journal of Finance|Journal of Financial Economics|The Journal of Finance|Quarterly Journal of Economics|The Journal of Finance|Journal of Finance|Journal of Finance|Journal of Financial Economics|Journal of Financial Economics|Journal of Financial Economics|Journal of Financial Economics|Review of Financial Studies|Journal of Finance|Journal of Public Economics|Journal of Financial Economics|The Journal of Finance|Journal of Financial Economics
2-s2.0-33748429296,2003,EFCE,0,0033431087|0030527404|70449530457|0013412103|4043061418|0030318587|0001638317|84993897491|0034148112|0037332214|0000706823|77956739087|0031484752|0002110167|77956738688,Review of Financial Studies|Review of Economics and Statistics|Handbook of Macroeconomics|American Economic Review|Quarterly Journal of Economics|American Economic Review|American Economic Review|The Journal of Finance|Journal of Financial Economics|Quarterly Journal of Economics|Journal of Financial Economics|Handbook of Macroeconomics|Review of Financial Studies|Journal of Financial Economics|Handbook of Macroeconomics
2-s2.0-27844446576,2004,IFM,1,0009806438|0344585888|0002615169|0034770626|0000749777|0442296468|0001259533,Quarterly Journal of Economics|Journal of Financial Intermediation|Journal of Economic Perspectives|Economic Policy|American Economic Review|Desarrollo Economico|Journal of International Economics
2-s2.0-33646190771,2004,IFM,1,84950894998|84881844837|0001097029|0003083292|58149405892|0141538285|77956750491|0031184841|0036217050,Journal of the American Statistical Association|Review of Economic Studies|American Economic Review|Economics Letters|Carnegie-Rochester Confer. Series on Public Policy|Journal of International Economics|Handbook of Macroeconomics|Journal of Monetary Economics|Journal of Monetary Economics
2-s2.0-0037677811,2002,CF,1,0037306950|0036487678|85010527106|0001654625|0038630065|0038630073|0036866103|0001040607|0041374878|0036251288|84984517112|0001503097|0032416910|0033466690|0033025387,"European Economic Review|Quarterly Journal of Economics|Journal of Legal Pluralism and Unofficial Law|Quarterly Journal of Economics|American Economic Review|Journal of Economic Literature|Quarterly Journal of Economics|American Economic Review|European Economic Review|Journal of Law, Economics, and Organization|Economics & Politics|Journal of Finance|Journal of Political Economy|Journal of Law, Economics, and Organization|World Bank Research Observer"
2-s2.0-84978880727,2008,AP-RISK,1,67349271076|84863219715|84916202004|84978880727|84889042078|77952885173|79951799971|84860446030|84941491426|84860470674|85011655177|66249141764|84894198103|84921457907|13844275121|84888027395|22944474586|0040759670|0042745956|4444289240|2342474623|84864112861|84878636585,Journal of Financial Stability|American Economic Review|Journal of Financial and Quantitative Analysis|American Economic Review|Journal of Finance|Journal of Financial Intermediation|Annual Review of Economics|Journal of Financial Economics|Journal of the American Statistical Association|Journal of Financial Economics|Journal of Economic Perspectives|Review of Financial Studies|American Economic Review|American Economic Journal: Macroeconomics|Journal of Economic Theory|Journal of Empirical Finance|Annals of Statistics|Empirical Economics|International Economic Review|Journal of Business and Economic Statistics|Journal of Banking and Finance|Journal of Financial Intermediation|Journal of Banking and Finance
2-s2.0-79958287249,2009,RISK,1,78649468436|68049123059|72449151676,Review of Financial Studies|Journal of Monetary Economics|Quarterly Journal of Economics
