title,group,year,abstract
Does the Source of Capital affect Capital Structure?,CF,2003,"Empirical examinations of capital structure have led some to conclude that firms are under levered. Implicit in this argument and much of the empirical work on leverage is the assumption that the availability of incremental capital depends solely on the risk of the firm’s cash flows and characteristics of the firm. However, the same market frictions that make capital structure relevant suggest that firms may be rationed by lenders, leading some firms to appear to be under-levered relative to unconstrained firms. We examine this theory, arguing that the same characteristics that may be associated with firms being rationed by the debt markets are also associated with financial intermediaries, opposed to bond markets, being the source of a firm’s debt capital. We find that firms have significantly different leverage ratios based on whether they have access to public bond markets as measured by the firm having a debt rating. Although firms with a debt rating are fundamentally different, these differences do not explain our finding. Even after controlling for the firm characteristics previously found to determine observed capital structure and the possible endogeneity of having a bond rating, we find that firms which are able to raise debt from public markets have 40 percent more debt."
"Financial Constraints, Asset Tangibility, and Corporate Investment",CF,2003,"This paper proposes a new strategy to identify the effect of financial constraints on corporate investment. When firms are able to pledge their assets as collateral, investment and borrowing become endogenous: pledgeable assets support more borrowings that in turn allow for further investments in pledgeable assets. We show that this credit multiplier has a first-order effect on investment when firms face financing firctions. In particular, investment-cash flow sensitivities will be increasing in the degree of tangibility of constrained firms' assets. When firms are unconstrained, in contrast, investment-cash flow sensitivities are unaffected by asset tangibility. This theoretical prediction allows us to use a ""differences in differences"" approach to identify the effect of financing frictions on corporate investment: we compare the differential (marginal) effect of asset tangibility on the sensitivity of investment to cash flow across different regimes of financial constraints. Using two layers of cross-sectional contrasts sidesteps concerns that cash flows might correlate with a firm's (residual) investment opportunities when Q fails as a control. We implement out testing strategy on a large sample of firms drawn from COMPUSTAT between 1971 and 2000. The data strongly support our hypothesis about the role of asset tangibility on corporate investment under financial constraints."
Financial Contracting with Optimistic Entrepreneurs: Theory and Evidence,CF,2003,
Simple Forecasts and Paradigm Shifts,CF,2003,"We propose that agents make forecasts using overly simplified models of the world - i.e., models that only embody a subset of available information. We then go on to study the implications of learning in this environment. Our key premise is that learning is based on a model-selection criterion. Thus if a particular simple model does a poor job of forecasting over a period of time, it is eventually discarded in favor of an alternative, yet equally simple model that would have done better over the same period. This theory makes several distinctive predictions, which, for concreteness, we develop in a stock-market setting. For example, starting with symmetric and homoskedastic fundamentals, the theory yields forecastable variation in the size of the value/glamour differential, in volatility, and in the skewness of returns. Some of these features mirror familiar accounts of stock-price bubbles."
The Media and Asset Prices,CF,2003,"Does media coverage affect asset prices? If so, why? And what are the consequences? In this paper we try to answer these questions by looking at the effect media reporting has on stock market reactions to earnings announcement. We find that stock prices are most reactive to the type of earnings emphasized by the press. This effect is stronger for companies with fewer analysts and when the media outlet is more credible. Interestingly, we find that media spin tends to follow the spin promoted by the company. This is more so the fewer alternative sources of information about a company are available, the more demand for information there is, and the less reputable a newspaper is. The evidence is most consistent with a quid pro quo relation between journalists and their sources, where they receive private information in exchange for a positive spin on companies’ news."
The Power of Takeover Defenses,CF,2003,"We investigate the effects of modern takeover defenses. Following the development of the poison pill, U.S. managers’ ability to block an offer that shareholders view as attractive depends on whether managers of U.S. firms are protected by an “effective” staggered board (ESB), which prevents shareholders from replacing the full board in a single annual meeting. We test the prediction that the presence of an ESB has a considerable effect on bid outcomes and shareholder returns using a new database of all hostile takeover bids for U.S. targets in the period 1996-2002. We find that an ESB substantially increases the odds that a takeover target will remain independent. Other variables commonly thought to influence the outcome of bids – such as pre-bid poison pills, the presence of a majority of independent directors on the target board, and target CEO characteristics – appear to have a much less significant effect on outcomes than the presence of an ESB. We also find that targets that remain independent achieve, on average, significantly lower returns than acquired targets, and we find no evidence that ESBs provide countervailing benefits in the form of higher premiums for targets that are acquired. Finally, we find that having an ESB reduces the returns to target shareholders, in both the short run (12 months) and the long run (30 months), by more than 20%."
Wealth Destruction on a Massive Scale: A Study of Acquiring-firm Returns in the Merger Wave of the 1990s,CF,2003,"Acquiring-firm shareholders lost 12 cents for every dollar spent on economically significant acquisitions for a total loss of $240 billion from 1998 through 2001, whereas they lost $7 billion in all of the 1980s, or 1.5 cents per dollar spent. Though the announcement losses to acquiring-firm shareholders in the 1980s are more than offset by gains to acquired-firm shareholders, the losses of bidders exceed the gains of targets from 1998 through 2001 by 158$ billion. The 1998-2001 aggregate losses of acquiring-firm shareholders are so large because the worst acquisition announcements are associated with extremely large losses. These acquisitions represent a large fraction of the amount spent on acquisitions because they are made by large firms and are usually the largest acquisitions of these firms. Firm and deal characteristics found useful in earlier work to explain acquirer returns cannot explain these large losses. It is also not the case that highly valued firms make systematically poor acquisitions. The evidence is consistent with three possible explanations for these deals that are not mutually exclusive: (1) acquirers with overvalued equity use it to pay for acquisitions to lock in physical assets, (2) overvalued equity enables managers to pursue a growth strategy that is not in the interests of long-term shareholders, and/or (3) these acquisitions reveal to investors that firm's earnings growth will be lower than expected. In particular, most of the acquisitions with large losses involve some equity in payment, follow a period of successful acquisitions, are made close to the acquiring firm's valuation peak, are accompanied by a drop in expected earnings, and are followed by poor long-run performace."
Aggregate Risk in Japanese Equity Markets,EFCE,2003,"In the past decade Japanese households have been buffeted by some big aggregate shocks. Economic growth has slowed, unemployment risk has risen, and asset prices have fallen to levels not seen since the early 1980's. These shocks have hit both households' financial and human capital. This paper develops a framework for identifying the sources of these shocks and a way to measure how household assessments of these risks vary over time. We consider the perspective of a forward-looking risk-averse household and derive expected returns and time-varying risk premia for each risk factor. We then construct times-series of historical expected risk premia using Japanese data on industry returns. An analysis of this data provides four main findings. First, prior to 1984 expected risk premia on identified goods market shocks, monetary policy and financial market risk are all important determinants of industry level expected returns. Second, starting in 1984 households perceive that the risk from financial shocks is increasing and demand higher risk premia to hold this risk. Third, between 1987 and 1990 risk premia on monetary policy are large and positive. Monetary policy is perceived to be adding to financial risk. Fourth, in 1990 as expected risk premia on financial risk shoot up, expected risk premia on monetary policy shocks turn negative for all industry returns. As stock prices collapse between 1990 and 1995, monetary policy shocks play an important role in hedging risk emanating from the financial sector."
Asymmetric Cycles,EFCE,2003,"I estimate a model in which new technology entails random adjustment costs. Rapid adjustments may cause productivity slowdowns. These slowdowns last longer when retooling is costly. The model explains why 1. growth-rate disasters are more likely than miracles, 2. volatility of growth relates negatively to growth over time."
Corporate Governance over the Business Cycle,EFCE,2003,I provide empirical evidence that badly governed firms respond more to aggregate shocks than do well governed firms. A simple model where shareholders’ scrutiny increases when business conditions deteriorate can account for this empirical finding. The quantitative analysis suggests that the governance mechanism may explain 30% of aggregate volatility.
Dynamic Optimal Taxation with Private Infomation,EFCE,2003,"We study dynamic optimal taxation in a class of economies with private information. Constrained optimal allocations in these environments are complicated and history-dependent. Yet, we show that they can be attained as competitive equilibria in market economies supplemented with simple tax systems. The market structure in these economies is identical to that in Bewley (1986): agents can trade current consumption and risk-free claims to future consumption, subject to a budget constraint and a debt limit. The tax system describes additional transfers that the agents must make to the government. It conditions them upon only two observable characteristics of an agent: her accumulated stock of claims, or wealth, and her current labour income. It implies optimal tax functions that are not additively separable in these variables. The marginal wealth tax is negatively correlated with income and its expected value is generally positive. The marginal income tax is decreasing in wealth."
Efficiency Wages and Inter-Industry Wage Differentials,EFCE,2003,"Many empirical papers argue that a signficant portion of inter-industry wage differentials is attributable to efficiency wage considerations. This paper presents a new multi-industry shirking efficency wage model, in which detected shirkers face a monetary punishment, and examines whether it is consistent with the size and behavior of inter-industry wage differentials over time. The model suggests that: 1) small differences in detection rates can account for significant and persistent differentials, 2) high wage industries tend to have higher profits per worker and higher capital to labor ratios, and 3) inter-industry wage differentials are consistent with the empirical findings that they are generally acyclical."
Evaluating the Non-Linearity of the Financial Accelerator,EFCE,2003,
Financial Intermediation in a Restructuring Economy,EFCE,2003,
Investment Planning Costs and the Effects of Fiscal and Monetary Policy,EFCE,2003,"We show that simple “New Keynesian” models with capital but without investment frictions have counterfactual predictions regarding the short-run effects of fiscal policy shocks: fiscal expansions lower output, employment, and the real interest rate in these models. We modify the model by assuming that investment projects are costly to start or stop, which is consistent with micro evidence. Adding investment planning costs restores the aggregate expenditure logic of the Keynesian Cross, and eliminates the counterfactual predictions regarding fiscal shocks. The modified model is also better able to match stylized facts on (i) the delayed effects of monetary policy shocks on output, (ii) the size of the liquidity effect, and (iii) the fact that monetary shocks change real interest rates for a significantly shorter time than they change real output. We show that convex capital adjustment costs, as in the neoclassical interpretation of Tobin’s Q, cannot substitute for investment planning costs in all of these respects."
Medium Term Business Cycles,EFCE,2003,"Over the postwar, the U.S., Europe and Japan have experienced what may be thought of as medium frequency oscillations between persistent periods of robust growth and persistent periods of relative stagnation. These medium frequency movements, further, appear to bear some relation to the high frequency volatility of output. That is, periods of stagnation are often associated with significant recessions, while persistent booms typically are either free of recessions or are interrupted only by very modest downturns. In this paper we explore the idea of medium term cycles, which we define as reflecting the sum of the high and medium frequency variation in the data. We develop a methodology for identifying these kinds of fluctuations and then show that a number of important macroeconomic time series exhibit significant medium term cycles. The cycles feature strong procyclical movements in both disembodied and embodied technological change, research development, and the efficiency of resource utilization. We then develop a model to explain the medium term cycle that features both disembodied and embodied endogenous technological change, along with countercyclical markups and variable factor utilization. The model is able to generate medium term fluctuations in output, technological change, and resource utilization that resemble the data, with a non-technological shock as the exogenous disturbance. In particular, the model offers a unified approach to explaining both high and medium frequency variation in aggregate business activity."
Optimal Fiscal Policy in a Business Cycle Model without Commitment,EFCE,2003,
"Public Announcements, Adjustment Delays and the Business Cycle",EFCE,2003,"I study the effects of a lack of common knowledge on nominal adjustment in a dynamic price-setting game with incomplete information. In particular, I show how the speed of price adjustments following a nominal or real shock depends on the information structure among price-setters. The provision of public information leads to a reduction of higher-order uncertainty and hence to more rapid price adjustments, but it potentially comes at the cost of an increased exposure to informational noise. I extend my analysis to allow for other disturbances, showing that higher-order uncertainty may account for the persistence of any kind of shock. Finally, I reconsider the role of monetary policy and discuss how the central bank's policy actions may act as a focal point for market beliefs and hence affect nominal and real adjustment through its ""coordination effect""."
Rule-of-Thumb Consumers and the Design of Interest Rate Rules,EFCE,2003,"We introduce rule-of-thumb consumers in an otherwise standard dynamic sticky price model, and show how their presence can change dramatically the properties of widely used interest rate rules. In particular, the existence of a unique equilibrium is no longer guaranteed by an interest rate rule that satisfies the Taylor principle. Thus, when the weight of rule-of-thumb consumers is large, a strong anti-inflationary bias may be needed in order to avoid indeterminacy whenever the central bank follows a rule that responds to contemporaneous inflation and output. On the other hand, when that rule is either forward or backward-looking, the opposite result often holds in a similar environment: only specifications of the rule that violate the Taylor principle (i.e., passive rules) can guarantee a unique equilibrium. "
"Search, Money and Capital",EFCE,2003,
The Zero Bound on Interest Rates and Optimal Monetary Policy,EFCE,2003,
Conditional Cash Flow Sensitivities and Financing Constraints,EFEL,2003,"Kaplan and Zingales (QJE, 1997) study the unconditional sensitivity of investment to cash flow in a static demand for capital framework. In contrast we study the sensitivity of investment to cash flow conditional on measures of q in an adjustment costs framework. This is more closely related to the empirical literature on investment and financing constraints."
"Disagreement, Animal Sprits and Investment",EFEL,2003,
Dynamics of Corporate Earnings,EFEL,2003,
Financial Intermediaries as Firms and the Business Cycle,EFEL,2003,
"Financing Constraints, Irreversibility and Investment Dynamics",EFEL,2003,"We develop a structural model of an industry with many entrepreneurial firms in order to investigate the cyclical behaviour of aggregate fixed investment, variable capital investment and output. In particular, we consider an environment in which the entrepreneurs cannot borrow unless the debt is secured by collateral and cannot sell fixed capital without liquidating their whole business. We show that when these entrepreneurs experience persistent idiosyncratic and aggregate shocks, the interplay between financing constraints and irreversibility of fixed capital helps to explain several common observations: it explains why inventory investment is very volatile and procyclical, especially during recessions, and it explains why the output and inventories of small firms are more volatile and more cyclical than that of large firms. The model is also consistent with the observations that inventory investment leads the business cycle, and that both fixed and inventory investment are sensitive to the net worth of firms, even when marginal productivity of capital is taken into account."
Glamour vs. Value: The Real Story,EFEL,2003,
Investment and Returns with Financing Constraints: Evidence using Firm Data,EFEL,2003,
Life Cycle Portfolio Choice with Taxable and Tax Deferred Accounts,EFEL,2003,
Regulation and Investment,EFEL,2003,
Risk Taking by Entrepreneurs,EFEL,2003,"Entrepreneurs bear substantial risk, but empirical evidence shows no sign of a positive premium. This paper develops a theory of endogenous entrepreneural risk taking that explains why self-financed entrepreneurs may find it optimal to invest into risky projects offering no risk premium. The model has also a number of implications for firm dynamics supported by empirical evidence, such as a positive correlation between survival, size, and firm age"
Trade Liberalization and Lumpy Investment: Evidence from Chilean Plan-level Data,EFEL,2003,
Unnatural Selection: Perverse Incentives and the Misallocation of Credit in Japan,EFEL,2003,"This study examines the misallocation of credit in Japan associated with the perverse incentives of banks to provide additional credit to the weakest firms. Firms are far more likely to receive additional credit if they are in poor financial condition, and these firms continue to perform poorly after receiving additional bank financing. Troubled Japanese banks allocate credit to severely impaired borrowers primarily to avoid the realization of losses on their own balance sheets. This problem is compounded by extensive corporate affiliations, which provide a further incentive for banks to allocate scarce credit based on considerations other than prudent credit risk analysis."
A Nonlinear Model of the Business Cycle,EFWW,2003,
A Structural Break in U.S. GDP?,EFWW,2003,
Dynamic Seemingly Unrelated Cointegrating Regression,EFWW,2003,
Estimation of Markov Regime-Switching Regression Models with Endogenous Switching,EFWW,2003,
Exchange Rate Predictability and Monetary Fundamentals in a Small Multi-Country Panel,EFWW,2003,
"Financial Asset Returns, Market Timing, and Volatility Dynamics",EFWW,2003,
Identification and Mis-specification Issues in Forward-Looking Models,EFWW,2003,
Land of Addicts? An Empirical Investigation of Habit-Based Asset Pricing Models,EFWW,2003,
Measuring the Effects of Monetary Policy: A Factor-Augmented Vector Autoregressive (FAVAR) Approach,EFWW,2003,
Modeling Model Uncertainty,EFWW,2003,
Optimal Inference in Regression Models with Nearly Integrated Regressors,EFWW,2003,
Regression Analysis with Many Specifications: A Bootstrap Method for Robust Inference,EFWW,2003,
A New Micro Model of Exchange Rate Dynamics,IFM,2003,"This paper bridges the microstructure and new macro approaches to exchange rates by addressing how currency markets aggregate information in general equilibrium. Two key features distinguish our model from new macro models: the presence of dispersed information and participation of financial intermediaries who act as market-makers. We depart from microstructure modeling in that real economic activities where dispersed information originates are explicitly identified, as well as the technology by which this information is subsequently aggregated and impounded in price. Financial intermediaries in the model are consolidated with consumers, in the spirit of the ""yeoman farmer"" consolidation of production and consumption in new  macro models. A new forcing variable arises from intermediation that affects both the exchange rate and the currency risk premium (because intermediation involves risks that cannot be fully hedged). The model is structured to permit analysis of order flow, a market-based measure that is much in focus in the empirical literature. In particular, we examine the origins of the positive covariance between exchange rate changes and order flow found in the data. We also identify the specific conditions for using order flow to discriminate transitory from persistent macro shocks. Finally, the model demonstrates why at higher frequencies order flow explains exchange rates better than macro variables, whereas at lower frequencies macro variables predominate."
Analytics of Sovereign Debt Restructuring,IFM,2003,"Over the past few years there has been an active debate on appropriate mechanisms for restructuring sovereign debt, particularly international bonds. This paper develops a simple theoretical model to analyse the merits of these proposals. The analysis suggests that CACs can resolve the inefficiencies caused by intra-creditor coordination problems providing that all parties have complete information about each other’s preferences. In such a world, statutory mechanisms are unnecessary. This is no longer the case, however, when the benefits from reaching a restructuring agreement are private information to the debtor and its creditors. In this case, the inefficiencies induced by strategic behaviour - the debtor-creditor bargaining problem - cannot be resolved by the parties themselves: removing these inefficiencies would require the intervention of a third party."
Asset Prices and Exchange Rates,IFM,2003,"This paper develops a simple two-country, two-good model, in which the real exchange rate, stock and bond prices are jointly determined. The model predicts that stock market prices are correlated internationally even though their dividend processes are independent, providing a theoretical argument in favor of financial contagion. The foreign exchange market serves as a propagation channel from one stock market to the other. The model identifies interconnections between stock, bond and foreign exchange markets and characterizes their joint dynamics as a three-factor model. Contemporaneous responses of each market to changes in the factors are shown to have unambiguous signs. These implications enjoy strong empirical support. Estimation of various versions of the model reveals that most of the signs predicted by the model indeed obtain in the data, and the point estimates are in line with the implications of our theory. Furthermore, the uncovered interest rate parity relationship has a risk premium in our model, shown to be volatile. We also derive agents’ portfolio holdings and identify economic environments under which they exhibit a home bias, and demonstrate that an international CAPM obtaining in our model has two additional factors."
Bonds or Loans? The Effect of Macroeconomic Fundamentals,IFM,2003,"The lending boom of the 1990s witnessed considerable variation over time and across countries in the ratio of international bonds to foreign bank loans used as debt instrument by emerging market borrowers. Why some issuers float international bonds while others borrow from international banks has received little if any systematic attention. This paper tests how macroeconomic fundamentals affect the choice of international debt instrument available to emerging market borrowers. As a stepping stone for empirical analysis, a model with asymmetric information is presented. Empirical results show that macroeconomic fundamentals explain a significant share of variation in the ratio of bonds to loans for private borrowers, but not for the sovereigns."
Empirical Exchange Rate Models of the Nineties: Are Any Fit to Survive?,IFM,2003,"Previous assessments of nominal exchange rate determination have focused upon a narrow set of models typically of the 1970’s vintage. The canonical papers in this literature are by Meese and Rogoff (1983, 1988), who examined monetary and portfolio balance models. Succeeding works by Mark (1995) and Chinn and Meese (1995) focused on similar models. In this paper we re-assess exchange rate prediction using a wider set of models that have been proposed in the last decade: interest rate parity, productivity based models, and ""behavioral equilibrium exchange rate"" models. The performance of these models is compared against a benchmark model – the Dornbusch-Frankel sticky price monetary model. The models are estimated in error correction and first-difference specifications. Rather than estimating the cointegrating vector over the entire sample and treating it as part of the ex ante information set as is commonly done in the literature, we recursively update the cointegrating vector, thereby generating true ex ante forecasts. We examine model performance at various forecast horizons (1 quarter, 4 quarters, 20 quarters) using differing metrics (mean squared error, direction of change), as well as the Aconsistency@ test of Cheung and Chinn (1998). No model consistently outperforms a random walk, by a mean squared error measure; however, along a direction-of-change dimension, certain structural models do outperform a random walk with statistical significance. Moreover, one finds that these forecasts are cointegrated with the actual values of exchange rates, although in a large number of cases, the elasticity of the forecasts with respect to the actual values is different from unity. Overall, model/specification/currency combinations that work well in one period will not necessarily work well in another period."
International Financial Integration,IFM,2003,"In recent decades, foreign assets and liabilities in advanced countries have grown rapidly relative to GDP, with the increase in gross cross-holdings far exceeding the size of net positions. Moreover, the portfolio equity and FDI categories have grown in importance relative to international debt stocks. In this Paper, we describe the broad trends in international financial integration for a sample of industrial countries, and seek to explain the cross-country and  time-series variation in the size of international balance sheets. We also examine the behaviour of the rates of return on foreign assets and liabilities, relating them to ‘market’ returns."
One Cost of Chilean Capital Controls: Increased Financial Constraints for Smaller Traded Firms,IFM,2003,"There is growing support for taxes on short-term capital inflows in emerging markets, such as the encaje adopted by Chile from 1991-98. Previous empirical assessments of the encaje conclude that it may have generated some small economic benefits, such as shifting the composition of capital inflows to a longer maturity, but no significant economic costs. Managers of small and medium-sized companies in Chile, however, claim that the encaje made it substantially more difficult to obtain financing for productive investment. This paper assesses whether the Chilean capital controls increased financial constraints for different-sized, publicly-traded firms. It uses two different testing methodologies: a Tobin's q and Euler-equation framework. Results indicate that during the encaje, smaller traded firms in Chile experienced significant financial constraints and these constraints decreased as firm size increased. Both before and after the encaje, however, no group of traded firms experienced significant financial constraints, and there is no relationship between firm size and financial constraints. Although Chilean-style capital controls may also yield benefits, this cost of the encaje could be particularly important in emerging markets where smaller firms can be valuable sources of job creation and economic growth."
"Promises Made, Promises Broken: A Model of IMF Program Implementation",IFM,2003,"A country that enters an IMF sponsored lending program agrees to enact stabilization and reform measures. The actual disbursal of funds by the Fund is tied through a process known as conditionality to the implementation of these policies. Many programs are not fully completed because the borrowing government fails to comply with the original agreement. This paper presents a model of program implementation, which is then empirically tested with data from the period 1975-99. The IMF and the borrowing country are shown to have asymmetric evaluations of a program’s discounted benefits, due to differences in their measurements of the benefits, the relevant time frame and appropriate discount rate. The model also distinguishes between a government that seeks to maximize national welfare and an autocracy that acts only to benefit the ruling group. It can also be shown that the existence of threshold effects in the benefits may result in dual optimal implementation rates. The results of the empirical analysis demonstrate that successful program implementation is affected by a country’s trade openness, the duration of the political regime, the ideological cohesion of the government, and the degree of political openness."
The High-Frequency Response of Exchange Rates and Interest Rates to Macroeconomic Announcements,IFM,2003,"Many recent papers have studied movements in stock, bond, and currency prices over short windows of time around macro announcements. This paper adds to the announcement affect literature in two ways. First, we study the joint announcement effects across a broad range of assets--exchange rates and U.S. and foreign term structures. In order to evaluate whether the joint effects can be reconciled with conventional theory, we interpret the joint movements in light of uncovered interest rate parity or changes in risk premia. For several real macro announcements, we find that a stronger than expected release appreciates the dollar today, but that it must either (i) lower the relative risk premium for holding foreign currency rather than dollars, or (ii) imply considerable future expected dollar depreciation. The latter implies an overshooting behavior akin to that described by Dornbusch (1976). Second, we use a longer span of data (1987-2002), and more of the data are at high frequency that has been common in announcement work. A longer span of high frequency data contributes to the precision of our estimates and allows us to explore the possibility that the effects of macro surprises on asset prices have varied over time. We find evidence, for example, that PPI releases had a larger effect on U.S. interest rates before about 1992 than subsequently"
Trade Openness And Exchange Rate Misalignments,IFM,2003,"The paper examines the claim that the benefits of real exchange rate flexibility under real foreign shocks and nominal rigidities are smaller for more closed economies. Openness is defined as a country’s steady state exports to GDP ratio, and the benefits of exchange rate flexibility as the welfare difference between fixed and flexible rate outcomes. The paper shows why the benefits of exchange rate flexibility are not systematically related to openness. The main reason is that rigid relative prices cause a contractionary shock to hit demand for all goods equally on impact."
Why Doesn’t Capital Flow from Rich Countries to Poor Countries? An Empirical Investigation,IFM,2003,"We examine the role of the different explanations for the lack of flows of capital from rich countries to poor ones – the Lucas paradox – in an empirical framework. Broadly, the various theoretical explanations for this paradox include differences in fundamentals that affect the production structure versus capital market imperfections. First, we briefly test the predictions of the neoclassical model by performing a calibration exercise using U.S. states, EU and OECD countries. Then, we perform cross-country regressions using a sample of 50 countries. Our empirical evidence shows that for the period 1970-1998 institutional quality is the most important variable explaining the Lucas paradox. We also run regressions with a smaller set of countries for the period 1918-1948. We find that in that earlier period human capital was the determining factor for the lack of flows, as Lucas suggested."
Estimating the Euler Equation for Output,ME,2003,"New Keynesian macroeconomic models have generally emphasized that expectations of future output are a key factor in determining current output. The theoretical motivation for such forward-looking behavior relies on a straightforward generalization of the well-known Euler equation for consumption. In this paper, we use maximum likelihood and generalized method of moments (GMM) methods to explore the empirical importance of output expectations. We find little evidence that rational expectations of future output help determine current output, especially after taking into account the small-sample bias in GMM."
Monetary Policy in Inattentive Economies,ME,2003,
The Case for Open-Market Purchases in a Liquidity Trap,ME,2003,"Prevalent thinking about liquidity traps suggests that the perfect substitutability of money and bonds at a zero short-term nominal interest rate renders open-market operations ineffective for achieving macroeconomic stabilization goals. We show that even were this the case, there remains a powerful argument for large-scale open market operations as a fiscal policy tool. As we also demonstrate, however, this same reasoning implies that open-market operations will be beneficial for stabilization as well, even when the economy is expected to remain mired in a liquidity trap for some time. Thus, the microeconomic fiscal benefits of open-market operations in a liquidity trap go hand in hand with standard macroeconomic objectives. Motivated by Japan’s recent economic experience, we use a dynamic general-equilibrium model to assess the welfare impact of open-market operations for an economy in Japan’s predicament. We argue Japan can achieve a substantial welfare improvement through large open-market purchases of domestic government debt."
The Excess Sensitivity of Long-Term Interest Rates: Evidence and Implications for Macroeconomic Models,ME,2003,"This paper demonstrates that long-term forward interest rates in the U.S. often react considerably to surprises in macroeconomic data releases and monetary policy announcements. This behavior is in contrast to the prediction of many macroeconomic models, in which the long-run properties of the economy are assumed to be time-invariant and perfectly known by all economic agents: Under those assumptions, the shocks we consider would have only transitory effects on short-term interest rates, and hence would not generate large responses in forward rates. Our empirical findings suggest that private agents adjust their expectations of the long-run inflation rate in response to macroeconomic and monetary policy surprises. We present an alternative model that captures this behavior. Consistent with our hypothesis, forward rates derived from inflation-indexed Treasury debt show little sensitivity to these shocks, indicating that the response of nominal forward rates is mostly driven by inflation compensation. In addition, we find that in the U.K., where the long-run inflation target is known by the private sector, long-term forward rates have not demonstrated excess sensitivity since the Bank of England achieved independence in mid-1997."
"The Real Thing: Nominal Price Rigidity of the Nickel Coke, 1886-1959",ME,2003,"We study price rigidity of Coca-Cola during the 1886–1959 period. The price of a 6 1⁄2 oz Coke was 5ffi starting on May 29, 1886, the day it was first introduced to the public at Jacob’s Pharmacy at 2 Peachtree Street in Atlanta, until about 1959. Thus we are documenting a nominal price rigidity that lasted more than 70 years! This is remarkable, and to our knowledge, no study has documented such persistent price rigidity. The case of Coca-Cola is particularly interesting because during the 70-year period there were substantial changes in the structure of the soft drink market, two World Wars and the Great Depression along with less remarkable economic fluctuations as well as numerous regulatory interventions, which led to substantial changes in the demand and supply conditions. Yet the actual price to customers did not reflect these changes, as traditional economic theory would predict: the company insisted that the price of Coke be held at 5¢. To explain this unusual puzzle, we use information provided by the Coca-Cola Company Archives and the Robert W. Woodruff Collection at Emory University. We combine this information with data collected from beverage industry trade publications and the Historical Statistics of the U.S. to provide some direct and indirect evidence on the actual quantitative magnitude of price, quality, and quantity adjustment costs for Coca-Cola. In addition, we demonstrate that the incredibly long period of the Coca-Cola price rigidity was accompanied by equally long-lasting Coca-Cola quality rigidity. These rigidities, we argue, can be best explained by the presence of long-term relationship and implicit contract of a rather explicit form between the Coca-Cola Company and the American public. Moreover, we demonstrate that the company systematically chose the option of quantity adjustment over price or quality adjustment. This, despite the fact that the cost of quantity adjustment was substantial. The implication is that, the perceived price and quality adjustment costs in this particular setting were far larger than the quantity adjustment cost. Placing a unique twist on the story, we also suggest three new explanations, two technology-based, and one based on a simple model of monopoly under stages of processing that likely played a role in the Coca-Cola price rigidity. We assess the existing theories of price rigidity by examining their empirical relevance for the case of Coca-Cola. We find that of the twelve theories we consider, nine of them can be ruled out as being inconsistent with the 70-year long price rigidity. A broadly defined cost of price adjustment notion is used to highlight common features of the theories we rule in. We demonstrate that the nickel coke was not really an exception in terms of the nature of its price rigidity, although it probably breaks any modern time record in terms of the longevity of the rigidity. We provide detailed historical evidence on the prevalence of widely used “customary, fixed prices” in the US as well as in Europe, and find that a non-trivial proportion of the retail trade was conducted at 5 and 10 cents for perhaps as long as 40 years. Finally, we argue that this study can be viewed not only as a study of unusually long price rigidity, but also as a study of a non-price market-clearing mechanism. In this particular case, we find that the adjustment was taking place through quantity."
The Zero Bound on Interest Rates and Optimal Monetary Policy,ME,2003,-
Tracking the Source of the Decline in GDP Volatility: An Analysis of the Automobile Industry,ME,2003,"Recent work by Kahn, McConnell and Perez-Quiros (2002) has argued that improvements in information technology and inventory management are the chief source of the decline in output volatility since 1984. A key piece of evidence in support of their argument is the decline in the variance of production relative to the variance of sales. This paper investigates the alternative hypothesis that declines in production volatility relative to sales stem from changes in the nature of the sales process rather than from changes in the structure of production and inventories. In particular, a small decrease in the volatility of sales can lead to a large decrease in the volatility of production if there are nonconvexities in the cost function. We confirm this intuition using simulations based on the cost function of automobile assembly plants. We then conduct an analysis of changes in production scheduling across U.S. automobile plants from the 1970s to the 1990s with a new plant-level dataset."
Uncertainty and Company Investment: An Empirical Investigation Using Data on Analysts' Profit Forecasts,ME,2003,"We investigate the empirical relationship between company investment and measures of uncertainty, controlling for the effect of expected future profitability on current investment decisions. We consider three measures of uncertainty, based on: (i) volatility in the firm’s daily stock returns; (ii) disagreement between different securities analysts in their forecasts of the firm’s future profits; and (iii) the variance of forecast errors in analysts’ forecasts of the firm’s future profits. We consider two controls for expected profitability: (i) a standard measure of Tobin’s q constructed from the firm’s stock market valuation; and (ii) an alternative measure of the q ratio constructed from discounted forecasts of the firm’s future profits stream. Empirical results are presented for a sample of 946 publicly traded US companies that were tracked by two or more securities analysts for at least four consecutive years between 1982 and 1999. All three measures of uncertainty are found to be positively correlated with each other. When we consider these measures individually, in each case we find a significantly negative long run effect of higher uncertainty on capital accumulation, which is robust to the inclusion of either of our controls for expected profitability. When we consider these measures jointly, we find that the level of disagreement between analysts provides the most informative indicator for identifying this long run effect of uncertainty on capital accumulation. In addition we find a significantly negative short run interaction term between share price volatility and current sales growth, consistent with the idea that, at higher levels of uncertainty, investment will respond less to a given demand shock. These effects of uncertainty on investment are shown to be quantitatively as well as statistically significant."
