researcher,eids,sources,years
6506209456,2-s2.0-84861385295|2-s2.0-80053318388|2-s2.0-79956267535|2-s2.0-77956604482|2-s2.0-85115907452|2-s2.0-77952098649|2-s2.0-67649999044|2-s2.0-84924412832|2-s2.0-59349099116|2-s2.0-55949133969|2-s2.0-57749172789|2-s2.0-33845716601|2-s2.0-33749471802|2-s2.0-11244296819,Management Science|Mathematics and Financial Economics|Journal of Finance|Review of Financial Studies|Review of Environmental Economics and Policy|Journal of Financial Markets|Management Science|Review of Financial Studies|Computational Economics|Review of Financial Studies|Economics of Innovation and New Technology|Review of Financial Studies|Journal of Public Economics|Journal of Financial and Quantitative Analysis,2012|2011|2011|2010|2010|2010|2009|2009|2009|2008|2007|2007|2006|2004
6506316171,2-s2.0-84884335970|2-s2.0-0033464833|2-s2.0-0030427063|2-s2.0-0030372939|2-s2.0-44049120475|2-s2.0-44049114907|2-s2.0-44049110576|2-s2.0-0040184514,Proceedings of the National Academy of Sciences of the United States of America|Econometric Theory|Applied Economics|Econometrica|Journal of Monetary Economics|Journal of Econometrics|Mathematical and Computer Modelling|Journal of Monetary Economics,2013|1999|1996|1996|1992|1992|1992|1991
6506380387,2-s2.0-84876098784|2-s2.0-84865321847|2-s2.0-82455198612|2-s2.0-80053948591|2-s2.0-77950958198|2-s2.0-77954265705|2-s2.0-45849146923|2-s2.0-34547666953|2-s2.0-15744400654|2-s2.0-2542473258|2-s2.0-0036015417|2-s2.0-0036012240|2-s2.0-0036077642|2-s2.0-0012798824,Journal of Econometrics|Journal of Econometrics|Econometric Theory|Review of Economics and Statistics|Economics Letters|Econometrica|Journal of Econometrics|Journal of Econometrics|Econometric Theory|Economics Letters|Econometric Theory|Economics Letters|Econometrica|Journal of Econometrics,2013|2012|2011|2011|2010|2010|2008|2007|2005|2004|2002|2002|2002|2001
6506419794,2-s2.0-84883708357|2-s2.0-77957163430|2-s2.0-77953806926|2-s2.0-77955154251|2-s2.0-77951208665|2-s2.0-76549085231|2-s2.0-11044226099,Journal of Finance|Journal of Financial Economics|Journal of Financial Economics|Journal of Finance|Journal of Financial Economics|Review of Financial Studies|Journal of Financial Economics,2013|2010|2010|2010|2010|2010|2005
6506433914,2-s2.0-84862584629|2-s2.0-84861538250|2-s2.0-80051573866|2-s2.0-72249120424|2-s2.0-73849113795|2-s2.0-62649155345|2-s2.0-33646356712|2-s2.0-16244375558|2-s2.0-2942750299|2-s2.0-21244486622|2-s2.0-0040080308|2-s2.0-0036692994,Journal of Political Economy|Brookings Papers on Economic Activity|Brookings Papers on Economic Activity|Journal of Finance|American Economic Review|Journal of Accounting Research|Quarterly Journal of Economics|Journal of Finance|American Economic Review|NBER Macroeconomics Annual|American Economic Review|Journal of Political Economy,2012|2011|2010|2009|2009|2009|2006|2005|2003|2003|2002|2002
6506453568,2-s2.0-84873989555|2-s2.0-77950332948|2-s2.0-33750912856|2-s2.0-17644412902|2-s2.0-0034357034|2-s2.0-0030118710|2-s2.0-0000374116|2-s2.0-84982061500|2-s2.0-0011029085|2-s2.0-84960602225|2-s2.0-21844505356|2-s2.0-38249007192,"Journal of International Economics|International Economic Review|American Economic Review|Canadian Journal of Economics|Scandinavian Journal of Economics|Journal of Economic Dynamics and Control|Journal of Money, Credit and Banking|Review of International Economics|Journal of Economic Dynamics and Control|Quarterly Journal of Economics|International Journal of Industrial Organization|Economics Letters",2013|2010|2004|2001|2000|1996|1996|1995|1995|1994|1994|1993
6506488465,2-s2.0-84876699629|2-s2.0-84875818590|2-s2.0-84856886443|2-s2.0-70350340332|2-s2.0-34248999083|2-s2.0-33645505940|2-s2.0-33645498998|2-s2.0-30844446285|2-s2.0-23044482458|2-s2.0-0347596117|2-s2.0-0242376945|2-s2.0-0242337585|2-s2.0-0009975517|2-s2.0-0039130574|2-s2.0-0038938226|2-s2.0-46549091780,"Journal of Monetary Economics|CESifo Forum|Revue Economique|Intereconomics|Journal of Common Market Studies|Economic Policy|Journal of the European Economic Association|American Economic Review|Public Choice|Scottish Journal of Political Economy|Journal of Money, Credit and Banking|Economic Policy|Open Economies Review|Journal of Policy Modeling|Economic Modelling|Journal of Banking and Finance",2013|2012|2011|2009|2007|2006|2006|2005|2005|2003|2003|2003|1996|1994|1994|1985
6506527390,2-s2.0-85026220703|2-s2.0-78649247082|2-s2.0-68349144499|2-s2.0-33646477423|2-s2.0-27844595824|2-s2.0-3042777269|2-s2.0-1842763647|2-s2.0-1842812537|2-s2.0-0000840371|2-s2.0-0034215105|2-s2.0-0001829044,"Academy of Management 2012 Annual Meeting, AOM 2012|Financial Management|Review of Financial Studies|Journal of Financial Economics|Strategic Management Journal|Financial Management|Journal of Finance|Journal of Economic Behavior and Organization|Journal of Corporate Finance|Academy of Management Review|Journal of Economic Behavior and Organization",2012|2010|2009|2006|2005|2004|2004|2004|2001|2000|2000
6506529436,2-s2.0-84875239264|2-s2.0-84871961036|2-s2.0-79953318413|2-s2.0-77956965441|2-s2.0-45849134939|2-s2.0-43049156384|2-s2.0-33744541080|2-s2.0-33747874890|2-s2.0-0031207358|2-s2.0-0029273474,Journal of Monetary Economics|Journal of the European Economic Association|Review of Economic Studies|American Economic Review|Journal of the European Economic Association|Journal of Monetary Economics|Journal of Monetary Economics|Journal of International Economics|SIAM Journal on Applied Mathematics|Physical Review Letters,2013|2013|2011|2010|2008|2008|2006|2006|1997|1995
6506531156,2-s2.0-84876312357|2-s2.0-77955852068|2-s2.0-47549104831|2-s2.0-3142686236|2-s2.0-0035628796,"Economic Policy|SERIEs|Journal of Economic Dynamics and Control|Journal of Money, Credit and Banking|Journal of Applied Econometrics",2013|2010|2008|2003|2001
6506635691,2-s2.0-84875233436|2-s2.0-84872009217|2-s2.0-79953019542|2-s2.0-68049089778|2-s2.0-46749097200|2-s2.0-38949154110|2-s2.0-33744510900|2-s2.0-27744482305|2-s2.0-77957302894|2-s2.0-0042420161|2-s2.0-0041417777|2-s2.0-0003372934|2-s2.0-0031474088|2-s2.0-1542605466|2-s2.0-0001212382|2-s2.0-84927964497|2-s2.0-0001321477|2-s2.0-34548495689|2-s2.0-85015256306|2-s2.0-84959799833,"Journal of Monetary Economics|Journal of Monetary Economics|Journal of Money, Credit and Banking|Journal of Monetary Economics|NBER Macroeconomics Annual|Journal of Political Economy|American Economic Review|International Economic Review|Journal of the European Economic Association|American Economic Review|American Economic Review|Japanese Economic Review|Journal of Political Economy|NBER Macroeconomics Annual|Economic Theory|Review of Economic Studies|Journal of Economic Dynamics and Control|Journal of Economic Theory|Journal of Political Economy|Quarterly Journal of Economics",2013|2012|2011|2009|2007|2007|2006|2005|2005|2002|2002|1998|1997|1996|1993|1993|1993|1991|1989|1988
6506636541,2-s2.0-84880608268|2-s2.0-84882641022|2-s2.0-84866515908|2-s2.0-80052660455|2-s2.0-77956599252|2-s2.0-49449094876|2-s2.0-41849149366|2-s2.0-0142087031,American Economic Journal: Macroeconomics|Annual Review of Economics|American Economic Review|Journal of Monetary Economics|Quarterly Journal of Economics|Quarterly Journal of Economics|American Economic Review|Journal of Monetary Economics,2013|2013|2012|2011|2010|2008|2008|2003
6506641986,2-s2.0-77956127575|2-s2.0-73849136349|2-s2.0-46749114332|2-s2.0-36749073354|2-s2.0-33847179786|2-s2.0-33644514387|2-s2.0-34250831455|2-s2.0-33747389804|2-s2.0-17944380399|2-s2.0-20444418725|2-s2.0-7744231462|2-s2.0-0037905686|2-s2.0-0041417748,American Economic Review|American Economic Review|Journal of Monetary Economics|Journal of the European Economic Association|Journal of Financial Economics|Journal of Econometrics|NBER Macroeconomics Annual|American Economic Review|Journal of Political Economy|American Economic Review|Journal of Financial Economics|Journal of Monetary Economics|American Economic Review,2010|2009|2008|2007|2007|2006|2006|2005|2005|2005|2004|2003|2002
6506656439,2-s2.0-84886003836|2-s2.0-84883409166|2-s2.0-84873990183|2-s2.0-84861443455|2-s2.0-79952183849|2-s2.0-78650621668|2-s2.0-77949288109|2-s2.0-77949550662|2-s2.0-43149119013|2-s2.0-36048949599|2-s2.0-34548829399|2-s2.0-3042673957|2-s2.0-0036742676|2-s2.0-0036256606|2-s2.0-0002209692|2-s2.0-0039738027|2-s2.0-0346939053,American Economic Review|Finance and Development|Journal of International Economics|International Economic Review|European Economic Review|Review of Economic Dynamics|Open Economies Review|Finance and Development|Journal of International Economics|Journal of Monetary Economics|Journal of Monetary Economics|American Economic Review|Journal of Monetary Economics|Journal of Applied Econometrics|Journal of Monetary Economics|International Economic Review|International Economic Review,2013|2013|2013|2012|2011|2011|2010|2008|2008|2007|2007|2003|2002|2002|2001|2001|1998
6506671165,2-s2.0-84890388094|2-s2.0-84887023150|2-s2.0-84866788252|2-s2.0-84907812600|2-s2.0-84866331803|2-s2.0-84858600024|2-s2.0-58849132587|2-s2.0-53349099610|2-s2.0-53649094412|2-s2.0-38949145032|2-s2.0-51449122304|2-s2.0-56449122452|2-s2.0-38349051931|2-s2.0-33847335478|2-s2.0-26944478037|2-s2.0-25644453475|2-s2.0-20744454298|2-s2.0-0742271636|2-s2.0-0242428152|2-s2.0-0036742682|2-s2.0-0035596965,"Studies in Nonlinear Dynamics and Econometrics|Manchester School|Regional Science and Urban Economics|B.E. Journal of Macroeconomics|Contemporary Accounting Research|Review of Economics and Statistics|Journal of Money, Credit and Banking|Journal of Urban Economics|Journal of Econometrics|Journal of Econometrics|Journal of Applied Econometrics|Regional Science and Urban Economics|Journal of Business and Economic Statistics|Journal of Money, Credit and Banking|Review of Economics and Statistics|Journal of Money, Credit and Banking|Journal of Applied Econometrics|Journal of Business and Economic Statistics|Review of Economics and Statistics|Journal of Monetary Economics|Journal of Business and Economic Statistics",2013|2013|2013|2012|2012|2012|2009|2008|2008|2008|2008|2008|2008|2007|2005|2005|2005|2004|2003|2002|2001
6506676282,2-s2.0-84881095307|2-s2.0-77955152355|2-s2.0-77949300560|2-s2.0-61649089933|2-s2.0-41549105462|2-s2.0-77649086457|2-s2.0-33645527259|2-s2.0-55349088891|2-s2.0-0242376945|2-s2.0-0036838216|2-s2.0-66649135044|2-s2.0-85066226022,"European Economic Review|Review of Economics and Statistics|Open Economies Review|Journal of Monetary Economics|European Economic Review|NBER Macroeconomics Annual|Journal of the European Economic Association|Journal of the European Economic Association|Journal of Money, Credit and Banking|Journal of Banking and Finance|Economie et Prevision|International Journal of Phytoremediation",2013|2010|2010|2009|2008|2008|2006|2003|2003|2002|2001|1997
6506784723,2-s2.0-84875512443|2-s2.0-84857446010|2-s2.0-79954480880|2-s2.0-77953808357|2-s2.0-77954968529|2-s2.0-77951765565|2-s2.0-33644652446|2-s2.0-12144253997,Journal of Financial Economics|Journal of Financial Economics|Review of Financial Studies|Journal of Financial Economics|Review of Financial Studies|Journal of Economic Theory|Journal of Monetary Economics|Economics Letters,2013|2012|2011|2010|2010|2010|2006|2005
6506803294,2-s2.0-33749604809|2-s2.0-33748564307|2-s2.0-0037235642|2-s2.0-0033371705|2-s2.0-0030529199|2-s2.0-21844524358|2-s2.0-21344483312,"Economic Inquiry|Journal of Money, Credit and Banking|Review of Financial Economics|Oxford Review of Economic Policy|Journal of Banking and Finance|Journal of Financial Services Research|Quarterly Journal of Economics",2006|2006|2003|1999|1996|1995|1994
6506822579,2-s2.0-84866546010|2-s2.0-77955164994|2-s2.0-50849090605|2-s2.0-33847041938|2-s2.0-84958985929|2-s2.0-0033425686|2-s2.0-4043146329|2-s2.0-0040516701|2-s2.0-0039460170|2-s2.0-0040834580|2-s2.0-84983979235|2-s2.0-0011564731|2-s2.0-84983991454|2-s2.0-46549090766,"Journal of Consumer Affairs|Review of Economics and Statistics|Statistics in Medicine|Journal of Monetary Economics|Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)|Review of Income and Wealth|Journal of Financial Counseling and Planning|Review of Income and Wealth|Journal of Business and Economic Statistics|Journal of Money, Credit and Banking|Review of Income and Wealth|International Journal of Forecasting|Review of Income and Wealth|Journal of Economic Dynamics and Control",2012|2010|2008|2007|2006|1999|1997|1997|1997|1996|1991|1990|1988|1985
6506831173,2-s2.0-84877890950|2-s2.0-77953862174|2-s2.0-72649094952|2-s2.0-2442521148|2-s2.0-0345375468|2-s2.0-0040081881|2-s2.0-0033237529,Journal of Consumer Research|Journal of Advertising|Harvard Business Review|Review of Economics and Statistics|European Management Journal|MIT Sloan Management Review|Journal of Consumer Research,2013|2010|2009|2004|2003|2002|1999
6506909842,2-s2.0-84882396296|2-s2.0-2942750233|2-s2.0-0035646557|2-s2.0-0030493870|2-s2.0-84993917435|2-s2.0-84977722205|2-s2.0-84977723895|2-s2.0-84977715087,Annual Review of Financial Economics|Journal of Finance|Review of Financial Studies|Review of Financial Studies|The Journal of Finance|The Journal of Finance|The Journal of Finance|The Journal of Finance,2012|2004|2001|1996|1994|1992|1988|1987
6506962565,2-s2.0-84880582039|2-s2.0-84862558107|2-s2.0-43849088610|2-s2.0-34248638792|2-s2.0-34547260896|2-s2.0-46749132296|2-s2.0-33751093022|2-s2.0-33646338180|2-s2.0-26444489007|2-s2.0-2342419591|2-s2.0-0036812369|2-s2.0-0036339138|2-s2.0-0031671779,American Economic Journal: Macroeconomics|Journal of Political Economy|Journal of Economic Dynamics and Control|Journal of Economic Dynamics and Control|American Economic Review|NBER Macroeconomics Annual|Journal of International Economics|Journal of Economic Theory|Quarterly Journal of Economics|Journal of Macroeconomics|Open Economies Review|Journal of Monetary Economics|Journal of International Economics,2013|2012|2008|2007|2007|2007|2006|2006|2005|2004|2002|2002|1998
6506965204,2-s2.0-78650263623|2-s2.0-67149096377|2-s2.0-0242676960|2-s2.0-0034554004|2-s2.0-0033438417|2-s2.0-0002837506,Energy Economics|Economica|Review of Economic Dynamics|Macroeconomic Dynamics|Economics Letters|Carnegie-Rochester Confer. Series on Public Policy,2011|2009|2003|2000|1999|1995
6506983576,2-s2.0-84862076527|2-s2.0-84858293123|2-s2.0-74349097459|2-s2.0-56149117224|2-s2.0-47049125968|2-s2.0-34247361666|2-s2.0-34247325606|2-s2.0-35448971042|2-s2.0-33751291512|2-s2.0-33746587077|2-s2.0-84860432453|2-s2.0-33646830333|2-s2.0-2442527511|2-s2.0-0038712489,Pacific Economic Review|European Economic Review|Journal of Applied Econometrics|European Economic Review|Journal of Monetary Economics|Journal of Monetary Economics|Journal of Monetary Economics|American Economic Review|International Review of Economics and Finance|Labour Economics|New Zealand Economic Papers|NBER Macroeconomics Annual|American Economic Review|Journal of Economic Dynamics and Control,2012|2012|2010|2008|2008|2007|2007|2007|2007|2006|2006|2005|2004|2003
6507003597,2-s2.0-53749090237|2-s2.0-1842586439|2-s2.0-44449110990|2-s2.0-0037728799|2-s2.0-0036339321|2-s2.0-84866944843|2-s2.0-0032768366,Journal of Risk Finance|Review of Economics and Statistics|Journal of Risk Finance|Review of Development Economics|Journal of Economic Behavior and Organization|Journal of Risk Finance|Economic Development and Cultural Change,2005|2004|2003|2003|2002|2002|1999
6507055522,2-s2.0-84884414759|2-s2.0-84924571855|2-s2.0-80053060476|2-s2.0-43649085253|2-s2.0-33744777137|2-s2.0-23844485481|2-s2.0-27644494028|2-s2.0-10944240163|2-s2.0-0040519940,Journal of Financial Economics|Review of Financial Studies|Journal of Finance|Journal of Finance|RAND Journal of Economics|Journal of Financial Economics|Journal of Business|Journal of Finance|Journal of Finance,2013|2013|2011|2008|2005|2005|2005|2004|2000
6507065503,2-s2.0-84889587755|2-s2.0-84891544329|2-s2.0-84864493209|2-s2.0-84861619053|2-s2.0-77953060564|2-s2.0-76549101802|2-s2.0-38749116641|2-s2.0-33847157869|2-s2.0-34248507012|2-s2.0-19744374458|2-s2.0-16244387672|2-s2.0-7444246169|2-s2.0-0036234941|2-s2.0-0035675217,Review of Financial Studies|Journal of Financial and Quantitative Analysis|Review of Financial Studies|Review of Financial Studies|Economic Policy|Review of Finance|Journal of Economic Perspectives|Financial Analysts Journal|Journal of the European Economic Association|American Economic Review|Journal of Finance|Journal of Financial Economics|Journal of Financial Economics|Oxford Review of Economic Policy,2013|2013|2012|2012|2010|2010|2007|2007|2006|2005|2005|2004|2002|2001
6507080071,2-s2.0-84877621371|2-s2.0-81055156198|2-s2.0-80053089164|2-s2.0-77957339775|2-s2.0-70349448582|2-s2.0-58949087712|2-s2.0-27244432879|2-s2.0-4043125367|2-s2.0-0012617159|2-s2.0-0040431613,Journal of Financial Economics|Journal of Financial Economics|Journal of Financial and Quantitative Analysis|Journal of Financial Economics|Review of Financial Studies|Journal of Finance|Journal of Financial Economics|American Economic Review|Journal of Financial and Quantitative Analysis|Real Estate Economics,2013|2012|2011|2010|2009|2009|2005|2004|2003|2001
6507086011,2-s2.0-79953024333|2-s2.0-78650966409|2-s2.0-64149087365|2-s2.0-61649089933|2-s2.0-33645527259|2-s2.0-12144261967|2-s2.0-0347985227|2-s2.0-0035607905,Open Economies Review|Review of Economics and Statistics|Review of Economic Studies|Journal of Monetary Economics|Journal of the European Economic Association|Economic Modelling|Journal of Econometrics|Journal of Applied Econometrics,2011|2010|2009|2009|2006|2005|2003|2001
6507108851,2-s2.0-84926126060|2-s2.0-52749092795|2-s2.0-34547325754|2-s2.0-12144258142|2-s2.0-0038811778|2-s2.0-0037332119|2-s2.0-0000842716|2-s2.0-0040322024|2-s2.0-0030078454|2-s2.0-38149147933|2-s2.0-0002832455|2-s2.0-84984500227|2-s2.0-38249034693|2-s2.0-45949128747|2-s2.0-84911649177|2-s2.0-0010960079|2-s2.0-0011286501,"Monetary Policy in Low-Inflation Economies|Journal of Monetary Economics|Journal of the European Economic Association|Journal of Monetary Economics|Journal of Monetary Economics|Journal of Money, Credit and Banking|Journal of Monetary Economics|Quarterly Journal of Economics|Journal of Monetary Economics|Journal of Monetary Economics|Journal of Monetary Economics|Economic Record|Journal of Monetary Economics|Journal of Monetary Economics|American Economic Review|The Journal of Finance|Journal of Monetary Economics",2009|2008|2006|2005|2003|2003|2000|1999|1996|1994|1992|1991|1987|1986|1985|1985|1983
6507256174,2-s2.0-84876839600|2-s2.0-84857152336|2-s2.0-84155166804|2-s2.0-84865602934|2-s2.0-79959884056|2-s2.0-79953024333|2-s2.0-67349278843|2-s2.0-58849149415|2-s2.0-49249124560|2-s2.0-43149101619|2-s2.0-34248638792|2-s2.0-34250895492|2-s2.0-33745918664|2-s2.0-33744773456|2-s2.0-33645935703|2-s2.0-33744902632|2-s2.0-33745900694|2-s2.0-1642549885|2-s2.0-0041723583|2-s2.0-2342433078|2-s2.0-0036268135|2-s2.0-0036397612,"Journal of Economic Dynamics and Control|American Economic Journal: Macroeconomics|Journal of Economic Theory|NBER Macroeconomics Annual|American Economic Review|Open Economies Review|Journal of Development Economics|Journal of Money, Credit and Banking|Journal of International Money and Finance|Macroeconomic Dynamics|Journal of Economic Dynamics and Control|NBER Macroeconomics Annual|Journal of Economic Dynamics and Control|Journal of Money, Credit and Banking|Journal of Monetary Economics|Japan and the World Economy|Journal of the European Economic Association|Journal of International Economics|Review of Economic Studies|NBER Macroeconomics Annual|Journal of International Economics|Scandinavian Journal of Economics",2013|2012|2012|2011|2011|2011|2009|2009|2008|2008|2007|2006|2006|2006|2006|2006|2005|2004|2003|2003|2002|2002
6507261967,2-s2.0-84880702921|2-s2.0-84881558531|2-s2.0-84865964981|2-s2.0-84857157167|2-s2.0-80052877094|2-s2.0-79955947513|2-s2.0-78650980446|2-s2.0-78751490995|2-s2.0-78650371665|2-s2.0-77953325774|2-s2.0-77955052748|2-s2.0-79751486735|2-s2.0-73449147662|2-s2.0-47649119661|2-s2.0-34447540070|2-s2.0-33947712463|2-s2.0-10144247249|2-s2.0-0035201507|2-s2.0-0034112584,"Journal of Economic Dynamics and Control|Journal of International Economics|Macroeconomic Dynamics|American Economic Journal: Macroeconomics|Finance and Development|Journal of Macroeconomics|European Economic Review|Economia Chilena|Finance and Development|Journal of Economic Dynamics and Control|Journal of Monetary Economics|International Journal of Central Banking|Journal of Money, Credit and Banking|Journal of Economic Dynamics and Control|Journal of International Economics|Journal of International Economics|Journal of International Money and Finance|Review of International Economics|Journal of International Economics",2013|2013|2012|2012|2011|2011|2011|2010|2010|2010|2010|2010|2010|2008|2007|2007|2004|2001|2000
6507294106,2-s2.0-80053917884|2-s2.0-77956591463|2-s2.0-77956808361|2-s2.0-64749109427|2-s2.0-64749089564|2-s2.0-48849087486|2-s2.0-33847037085|2-s2.0-33846508476|2-s2.0-30344461882|2-s2.0-28144451928|2-s2.0-21144443917|2-s2.0-15744378771|2-s2.0-0042283659|2-s2.0-0009917854|2-s2.0-0041049078|2-s2.0-0041051024|2-s2.0-0030163306|2-s2.0-77957079978|2-s2.0-0000309092|2-s2.0-84983967882|2-s2.0-0001770265|2-s2.0-52449136131|2-s2.0-84977720699|2-s2.0-84977707028|2-s2.0-84977706668|2-s2.0-84977701086|2-s2.0-0039939347|2-s2.0-0039859751|2-s2.0-46549101807|2-s2.0-46549099540|2-s2.0-46549097027|2-s2.0-0002093530|2-s2.0-0000587181|2-s2.0-84974323856|2-s2.0-84971848053|2-s2.0-84979364428,Journal of Portfolio Management|Review of Financial Studies|Review of Environmental Economics and Policy|B.E. Journal of Economic Analysis and Policy|B.E. Journal of Economic Analysis and Policy|Real Estate Economics|Real Estate Economics|Journal of Financial Economics|Real Estate Economics|Review of Finance|Journal of Financial and Quantitative Analysis|Journal of Business|Journal of Empirical Finance|Journal of Finance|Journal of Finance|Financial Management|Journal of Empirical Finance|Handbooks in Operations Research and Management Science|Journal of Financial Economics|Real Estate Economics|Oxford Review of Economic Policy|Statistical Papers|The Journal of Finance|The Journal of Finance|The Journal of Finance|The Journal of Finance|Journal of Financial Economics|The Journal of Finance|Journal of Banking and Finance|Economics Letters|Journal of Banking and Finance|Journal of Futures Markets|The Journal of Finance|Journal of Financial and Quantitative Analysis|Journal of Financial and Quantitative Analysis|Journal of Futures Markets,2011|2010|2010|2009|2009|2008|2007|2007|2005|2005|2005|2004|2000|1999|1997|1996|1996|1995|1994|1993|1992|1991|1991|1989|1989|1989|1988|1986|1985|1985|1985|1985|1985|1983|1983|1982
6507310217,2-s2.0-84870822505|2-s2.0-84864835396|2-s2.0-79960787757|2-s2.0-79952175156|2-s2.0-78149467385|2-s2.0-77956899870|2-s2.0-36549049825|2-s2.0-0142118646|2-s2.0-0041776665|2-s2.0-0001970847|2-s2.0-84985201132|2-s2.0-77956801605|2-s2.0-0344674609|2-s2.0-84911697093,Journal of Portfolio Management|Review of Financial Economics|Journal of Portfolio Management|Financial Analysts Journal|Journal of International Money and Finance|Financial Analysts Journal|Journal of Portfolio Management|International Journal of Theoretical and Applied Finance|Journal of International Money and Finance|Oxford Review of Economic Policy|Journal of International Financial Management &amp; Accounting|Handbook of International Economics|Economics Letters|Journal of Financial and Quantitative Analysis,2012|2012|2011|2011|2010|2008|2007|2003|1993|1989|1989|1985|1981|1980
6507312405,2-s2.0-84885796148|2-s2.0-84907812759|2-s2.0-79951696250|2-s2.0-77950992415|2-s2.0-58549096890|2-s2.0-33947113788|2-s2.0-33750247470|2-s2.0-33746589105|2-s2.0-3242667276|2-s2.0-0011775722|2-s2.0-0035730933|2-s2.0-0031797806,Tax Policy and the Economy|B.E. Journal of Macroeconomics|Tax Policy and the Economy|Journal of the European Economic Association|European Economic Review|Journal of Economic Dynamics and Control|IMF Staff Papers|Journal of the European Economic Association|European Economic Review|American Economic Review|Public Choice|Economic Policy,2013|2012|2010|2010|2009|2007|2006|2005|2004|2002|2001|1998
6507351103,2-s2.0-84855167725|2-s2.0-77957035447|2-s2.0-34748910296|2-s2.0-33747129515|2-s2.0-2442521148|2-s2.0-0037933256|2-s2.0-0040081881|2-s2.0-0032220665|2-s2.0-84989071153,Journal of Revenue and Pricing Management|Organization Science|Managerial and Decision Economics|Journal of Management Inquiry|Review of Economics and Statistics|Strategic Management Journal|MIT Sloan Management Review|Administrative Science Quarterly|Strategic Management Journal,2012|2010|2007|2006|2004|2003|2002|1998|1992
6507357648,2-s2.0-84875285153|2-s2.0-84866534471|2-s2.0-84857365938|2-s2.0-82455164330|2-s2.0-79961171628|2-s2.0-79956155892|2-s2.0-77956120997|2-s2.0-77956103517|2-s2.0-77954104676|2-s2.0-42149157117|2-s2.0-34447538291|2-s2.0-34249019823|2-s2.0-34848823142|2-s2.0-33748945698|2-s2.0-33646411794|2-s2.0-29944434203|2-s2.0-27144501536|2-s2.0-12744263602|2-s2.0-0038538318|2-s2.0-0036741883,"Journal of Money, Credit and Banking|Atlantic Economic Journal|Real Estate Economics|Journal of Financial Economics|Journal of Economic Psychology|Journal of Money, Credit and Banking|American Economic Review|American Economic Review|Journal of Money, Credit and Banking|Journal of Family and Economic Issues|International Review of Economics and Finance|Real Estate Economics|Journal of the Asia Pacific Economy|Journal of Financial Intermediation|Federal Reserve Bank of St. Louis Review|Journal of Urban Economics|Journal of Housing Economics|Southern Economic Journal|Applied Economics|Journal of Post Keynesian Economics",2013|2012|2012|2011|2011|2011|2010|2010|2010|2008|2007|2007|2007|2006|2006|2006|2005|2005|2002|2002
6507457576,2-s2.0-84888379115|2-s2.0-67349178615|2-s2.0-43049109436|2-s2.0-34548540523|2-s2.0-1842686756|2-s2.0-0030413768|2-s2.0-0005818162|2-s2.0-0001552432|2-s2.0-0029493416,"Journal of Monetary Economics|Review of Economic Dynamics|Journal of Econometrics|Journal of the European Economic Association|Journal of Econometrics|IEEE/IAFE Conference on Computational Intelligence for Financial Engineering, Proceedings (CIFEr)|Computational Economics|Journal of Forecasting|IEEE/IAFE Conference on Computational Intelligence for Financial Engineering, Proceedings (CIFEr)",2013|2009|2008|2005|2004|1996|1996|1996|1995
6507475197,2-s2.0-84883624630|2-s2.0-84860882880|2-s2.0-84861371218|2-s2.0-77958043339|2-s2.0-52749089640|2-s2.0-46149122102|2-s2.0-33646862405|2-s2.0-33646418725|2-s2.0-0041856328|2-s2.0-0036076680|2-s2.0-0000847864|2-s2.0-0033420874|2-s2.0-0010088895,International Journal of Central Banking|Journal of Banking and Finance|Management Science|Management Science|Journal of Mathematical Analysis and Applications|Proceedings - Winter Simulation Conference|Journal of Financial Intermediation|Journal of Banking and Finance|Journal of Financial Intermediation|Journal of Banking and Finance|Journal of Banking and Finance|Review of Economics and Statistics|Computational Economics,2013|2012|2012|2010|2009|2006|2006|2006|2003|2002|2000|1999|1998
6507592418,2-s2.0-79957504779|2-s2.0-78149496370|2-s2.0-77952957307|2-s2.0-77952501900|2-s2.0-68349130284|2-s2.0-40849126570|2-s2.0-34547687845|2-s2.0-34547682156|2-s2.0-38749143323|2-s2.0-13844253397|2-s2.0-4344611533|2-s2.0-4043056550,Review of Financial Studies|Journal of Financial Economics|Journal of Financial Economics|Review of Financial Studies|Review of Financial Studies|Journal of Financial Economics|Journal of Monetary Economics|Journal of Financial Economics|Review of Derivatives Research|Finance Research Letters|Review of Financial Studies|Journal of Financial Services Research,2011|2011|2010|2010|2009|2008|2007|2007|2007|2005|2004|2003
6507705269,2-s2.0-84897895262|2-s2.0-77951940275|2-s2.0-73349083054|2-s2.0-63849316353|2-s2.0-46049105974|2-s2.0-40749112768|2-s2.0-1642309650|2-s2.0-23244451069|2-s2.0-0036017577|2-s2.0-20144379563,Foundations and Trends in Finance|Journal of Accounting Research|Accounting Review|Journal of Accounting Research|Journal of Accounting and Economics|Journal of Accounting Research|Journal of Accounting Research|Games and Economic Behavior|Journal of Accounting Research|Journal of Accounting Research,2013|2010|2009|2009|2008|2008|2004|2003|2002|2000
6507731368,2-s2.0-0242376945|2-s2.0-0000800313|2-s2.0-33845424581|2-s2.0-38249007948,"Journal of Money, Credit and Banking|American Economic Review|Economic Modelling|Journal of Monetary Economics",2003|1996|1994|1992
