presentation_title,nber_wp,published_version,eid,comment
"CONFIDENCE, CRASHES AND ANIMAL SPIRITS",14846,"CONFIDENCE, CRASHES AND ANIMAL SPIRITS",2-s2.0-84857996269,
CONFRONTING INFORMATION ASYMMETRIES EVIDENCE FROM REAL ESTATE MARKETS,8877,CONFRONTING INFORMATION ASYMMETRIES: EVIDENCE FROM REAL ESTATE MARKETS,2-s2.0-4344682046,
CONSUMPTION COMMITMENTS AND ASSET PRICES,12467,CONSUMPTION COMMITMENTS AND RISK PREFERENCES,2-s2.0-34249858533,
CONSUMPTION RISK AND CROSS-SECTIONAL RETURNS,9538,CONSUMPTION RISK AND THE CROSS SECTION OF EXPECTED RETURNS,2-s2.0-15844380214,
CONSUMPTION STRIKES BACK,,CONSUMPTION STRIKES BACK? MEASURING LONG-RUN RISK,2-s2.0-44249088335,
"CONSUMPTION, AGGREGATE WEALTH AND EXPECTED STOCK RETURNS",,"CONSUMPTION, AGGREGATE WEALTH, AND EXPECTED STOCK RETURNS",2-s2.0-0012462939,
CORPORATE FINANCE AND THE TERM STRUCTURE OF INTEREST RATES,,EQUILIBRIUM INVESTMENT AND ASSET PRICES UNDER IMPERFECT CORPORATE CONTROL,2-s2.0-30844470248,
CORPORATE FINANCING DECISIONS AND MANAGERIAL MARKET TIMING,,"CORPORATE FINANCING DECISIONS, MANAGERIAL MARKET TIMING, AND REAL INVESTMENT",2-s2.0-79960412978,
CORPORATE GOVERNANCE AND INNOVATION: THEORY AND EVIDENCE,,CORPORATE GOVERNANCE AND INNOVATION: THEORY AND EVIDENCE,2-s2.0-84904754170,
CORPORATE GOVERNANCE OVER THE BUSINESS CYCLE,,CORPORATE GOVERNANCE OVER THE BUSINESS CYCLE,2-s2.0-33748429296,
CORPORATE STABILITY AND ECONOMIC GROWTH,12394,BIG BUSINESS STABILITY AND ECONOMIC GROWTH: IS WHAT'S GOOD FOR GENERAL MOTORS GOOD FOR AMERICA?,2-s2.0-47849122079,
COUNTRY INSURANCE,,COUNTRY INSURANCE,2-s2.0-27844446576,
"COUNTRY SIZE, CURRENCY UNIONS, AND INTERNATIONAL ASSET RETURNS",18057,"COUNTRY SIZE, CURRENCY UNIONS, AND INTERNATIONAL ASSET RETURNS",2-s2.0-84887528043,
COUNTRY SPREADS AND EMERGING COUNTRIES: WHO DRIVES WHOM,10018,COUNTRY SPREADS AND EMERGING COUNTRIES: WHO DRIVES WHOM?,2-s2.0-33646190771,
COURTS: THE LEX MUNDI PROJECT,8890,COURTS,2-s2.0-0037677811,
CREDIBLE COMMITMENT TO OPTIMAL ESCAPE FROM A LIQUIDITY TRAP: THE ROLE OF THE BALANCE SHEET OF AN INDEPENDENT CENTRAL BANK,10679,CREDIBLE COMMITMENT TO OPTIMAL ESCAPE FROM A LIQUIDITY TRAP: THE ROLE OF THE BALANCE SHEET OF AN INDEPENDENT CENTRAL BANK,2-s2.0-35448992518,
CREDIT CONDITIONS AND RECOVERIES FROM RECESSIONS ASSOCIATED WITH FINANCIAL CRISES,,CREDIT CONDITIONS AND RECOVERIES FROM FINANCIAL CRISES,2-s2.0-84861706608,
CREDIT CONSTRAINTS AND GROWTH IN A GLOBAL ECONOMY,,CREDIT CONSTRAINTS AND GROWTH IN A GLOBAL ECONOMY,2-s2.0-84942929088,
"CREDIT CRISES, PRECAUTIONARY SAVINGS AND THE LIQUIDITY TRAP",,"CREDIT CRISES, PRECAUTIONARY SAVINGS AND THE LIQUIDITY TRAP",,SED
CREDIT CRUNCHES AND CREDIT ALLOCATION IN A MODEL OF ENTREPRENEURSHIP,19296,CREDIT CRUNCHES AND CREDIT ALLOCATION IN A MODEL OF ENTREPRENEURSHIP,2-s2.0-84923025567,
"CRISES AND PRICES: INFORMATION AGGREGATION, MULTIPLICITY AND VOLATILITY",11015,"CRISES AND PRICES: INFORMATION AGGREGATION, MULTIPLICITY, AND VOLATILITY",2-s2.0-33746221590,
CRISES AND RECOVERIES IN AN EMPIRICAL MODEL OF CONSUMPTION DISASTERS,15920,CRISES AND RECOVERIES IN AN EMPIRICAL MODEL OF CONSUMPTION DISASTERS,2-s2.0-84880608268,
CROSS BORDER MERGERS AND ACQUISITIONS IN EMERGING MARKETS: THE STOCK MARKET VALUATION OF CORPORATE CONTROL,,THE VALUE OF CONTROL IN EMERGING MARKETS,2-s2.0-77950286780,
"CROSS-BORDER PRICES, COSTS, AND MARKUPS",,"INTERNATIONAL PRICES, COSTS, AND MARKUP DIFFERENCES",2-s2.0-80054928700,
CROSS-COUNTRY EVIDENCE ON THE QUALITY OF FISCAL FORECASTS,,CROSS-COUNTRY EVIDENCE ON THE QUALITY OF PRIVATE SECTOR FISCAL FORECASTS,2-s2.0-84939555769,
CULTURAL BIASES IN ECONOMIC EXCHANGE,11005,CULTURAL BIASES IN ECONOMIC EXCHANGE,2-s2.0-70349457884,
CURRENCY CRISES AND UNCERTAINTY ABOUT FUNDAMENTALS,,UNCERTAINTY AND CURRENCY CRISES: EVIDENCE FROM SURVEY DATA,2-s2.0-77956184151,
CURRENT ACCOUNT FACT AND FICTION,15525,,,
CYCLICAL SKILL-BIASED TECHNOLOGICAL CHANGE,,SKILL-BIASED TECHNOLOGICAL CHANGE AND THE BUSINESS CYCLE,2-s2.0-84885980886,
CYCLICALITY OF CREDIT SUPPLY: FIRM LEVEL EVIDENCE,17392,CYCLICALITY OF CREDIT SUPPLY: FIRM LEVEL EVIDENCE,2-s2.0-84894456895,
DEBT DILUTION AND SOVEREIGN DEFAULT RISK,,DEBT DILUTION AND SOVEREIGN DEFAULT RISK,2-s2.0-84988733636,
"DEBT LITERACY, FINANCIAL EXPERIENCE, AND OVER-INDEBTEDNESS",14808,"DEBT LITERACY, FINANCIAL EXPERIENCES, AND OVERINDEBTEDNESS",2-s2.0-84943612901,
"DEBT, DELEVERAGING, AND THE LIQUIDITY TRAP: A FISHER-MINSKY-KOO APPROACH",,"DEBT, DELEVERAGING, AND THE LIQUIDITY TRAP: A FISHER-MINSKY-KOO APPROACH",2-s2.0-84862845137,
DECENTRALIZED TRADING WITH PRIVATE INFORMATION,15513,DECENTRALIZED TRADING WITH PRIVATE INFORMATION,2-s2.0-84901773834,
DECONSTRUCTING LIFECYCLE EXPENDITURE,13893,,,
"DEFAULT RISK, THE REAL EXCHANGE RATE AND INCOME FLUCTUATIONS IN EMERGING ECONOMIES",,DEFAULT RISK AND INCOME FLUCTUATIONS IN EMERGING ECONOMIES,2-s2.0-58149302923,
"DEFLATION, REAL WAGES AND THE INTERNATIONAL GREAT DEPRESSION: A PRODUCTIVITY PUZZLE",11237,,,
DEMOGRAPHIC TRENDS THE DIVIDEND/PRICE RATIO AND THE PREDICTABILITY OF LONG-RUN STOCK MARKET RETURNS,,"DEMOGRAPHIC TRENDS, THE DIVIDEND-PRICE RATIO, AND THE PREDICTABILITY OF LONG-RUN STOCK MARKET RETURNS",2-s2.0-82655183631,
DEPRESSION BABIES: DO MACROECONOMIC EXPERIENCES AFFECT RISK-TAKING,,DEPRESSION BABIES: DOMACROECONOMIC EXPERIENCES AFFECT RISK TAKING?,2-s2.0-79955432995,
DETECTING LACK OF IDENTIFICATION IN GMM,,DETECTING LACK OF IDENTIFICATION IN GMM,2-s2.0-0037704660,
DETERMINING THE NUMBER OF FACTORS FROM EMPIRICAL DISTRIBUTION OF EIGENVALUES,,DETERMINING THE NUMBER OF FACTORS FROM EMPIRICAL DISTRIBUTION OF EIGENVALUES,2-s2.0-78650967353,
DETERMINING THE NUMBER OF FACTORS IN APPROXIMATE FACTOR MODELS,,DETERMINING THE NUMBER OF FACTORS IN APPROXIMATE FACTOR MODELS,2-s2.0-0036221554,
DID SECURITIZATION LEAD TO LAX SCREENING? EVIDENCE FROM SUBPRIME LOANS,,DID SECURITIZATION LEAD TO LAX SCREENING? EVIDENCE FROM SUBPRIME LOANS,2-s2.0-76049120993,
DID SUNSPOT FORCES CAUSE THE GREAT DEPRESSIONS,,DID SUNSPOT FORCES CAUSE THE GREAT DEPRESSION?,2-s2.0-33748939766,
DID THE DEATH OF DISTANCE HURT DETROIT AND HELP NEW YORK?,13710,DID THE DEATH OF DISTANCE HURT DETROIT AND HELP NEW YORK?,,NBER
"DISAGREEMENT, ANIMAL SPRITS AND INVESTMENT",,SHAREHOLDER-MANAGER DISAGREEMENT AND CORPORATE INVESTMENT,2-s2.0-79957863102,
DISASTER RISK AND BUSINESS CYCLES,,DISASTER RISK AND BUSINESS CYCLES,2-s2.0-84867697764,
DISASTERS IMPLIED BY EQUITY INDEX OPTIONS,15240,DISASTERS IMPLIED BY EQUITY INDEX OPTIONS,2-s2.0-81255144576,
DISCLOSURE AND THE COST OF CAPITAL: EVIDENCE FROM FIRMS' RESPONSES TO THE ENRON SHOCK,14897,,,
DISTANCE CONSTRAINTS: THE LIMITS OF FOREIGN LENDING IN POOR ECONOMIES,,DISTANCE CONSTRAINTS: THE LIMITS OF FOREIGN LENDING IN POOR ECONOMIES,2-s2.0-31444434740,
"DISTRIBUTION MARGINS, IMPORTED INPUTS, AND THE INSENSITIVITY OF THE CPI TO EXCHANGE RATES",,"THE SENSITIVITY OF THE CPI TO EXCHANGE RATES: DISTRIBUTION MARGINS, IMPORTED INPUTS, AND TRADE EXPOSURE",2-s2.0-77955129101,
DIVERSIFICATION AND DEVELOPMENT,,VOLATILITY AND DEVELOPMENT,2-s2.0-33947694596,
DO ASSET PRICES REFLECT FUNDAMENTALS? FRESHLY SQUEEZED EVIDENCE FROM THE FCOJ MARKET,9515,DO ASSET PRICES REFLECT FUNDAMENTALS? FRESHLY SQUEEZED EVIDENCE FROM THE OJ MARKET,2-s2.0-33846510859,
DO CENTRAL BANKS RESPOND TO EXCHANGE RATE MOVEMENTS? A STRUCTURAL INVESTIGATION,,DO CENTRAL BANKS RESPOND TO EXCHANGE RATE MOVEMENTS? A STRUCTURAL INVESTIGATION,2-s2.0-34247361666,
DO HOUSEHOLDS BENEFIT FROM FINANCIAL DEREGULATION AND INNOVATION THE CASE OF THE MORTGAGE MARKET,,THE IMPACT OF DEREGULATION AND FINANCIAL INNOVATION ON CONSUMERS: THE CASE OF THE MORTGAGE MARKET,2-s2.0-74249097322,
DO LOCAL ECONOMIC DEVELOPMENT PROGRAMS WORK? EVIDENCE FROM THE FEDERAL EMPOWERMENTZONE PROGRAM,16096,ASSESSING THE INCIDENCE AND EFFICIENCY OF A PROMINENT PLACE BASED POLICY,2-s2.0-84878541668,
DO MARKETS CARE WHO CHAIRS THE CENTRAL BANK?,13101,DO MARKETS CARE WHO CHAIRS THE CENTRAL BANK?,2-s2.0-77952067494,
DO NEWS SHOCKS DRIVE THE BUSINESS CYCLE?,12537,CAN NEWS ABOUT THE FUTURE DRIVE THE BUSINESS CYCLE?,2-s2.0-74949122801,
DO REGULATIONS BASED ON CREDIT RATINGS AFFECT A FIRM'S COST OF CAPITAL,14890,DO REGULATIONS BASED ON CREDIT RATINGS AFFECT A FIRM'S COST OF CAPITAL,2-s2.0-78649468436,
DO WOMEN PAY MORE FOR CREDIT EVIDENCE FROM ITALY,14202,DO WOMEN PAY MORE FOR CREDIT EVIDENCE FROM ITALY,2-s2.0-84871988775,
DOES A CENTRAL CLEARING COUNTERPARTY REDUCE COUNTERPARTY RISK?,,DOES A CENTRAL CLEARING COUNTERPARTY REDUCE COUNTERPARTY RISK?,2-s2.0-85071450987,
DOES AMBIGUITY MATTER ESTIMATING ASSET PRICING MODELS WITH A MULTIPLE-PRIORS RECURSIVE UTILITY,,DOES AMBIGUITY MATTER? ESTIMATING ASSET PRICING MODELS WITH A MULTIPLE-PRIORS RECURSIVE UTILITY,2-s2.0-84921506670,
DOES CORPORATE DIVERSIFICATION DESTROY VALUE,,DOES CORPORATE DIVERSIFICATION DESTROY VALUE?,2-s2.0-0009953773,
"DOES CORPORATE GOVERNANCE MATTER EVIDENCE FROM STOCK PRICES, RETURNS, AND CORPORATE PERFORMANCE IN THE 1990'S",8449,CORPORATE GOVERNANCE AND EQUITY PRICES,2-s2.0-0037332214,
DOES CORPORATE GOVERNANCE MATTER IN COMPETITIVE INDUSTRIES,14877,DOES CORPORATE GOVERNANCE MATTER IN COMPETITIVE INDUSTRIES?,2-s2.0-75149149776,
DOES DISTANCE STILL MATTER THE INFORMATION REVOLUTION IN SMALL BUSINESS LENDING,7685,DOES DISTANCE STILL MATTER? THE INFORMATION REVOLUTION IN SMALL BUSINESS LENDING,2-s2.0-0012949171,
DOES ECONOMIC DIVERSIFICATION LEAD TO FINANCIAL DEVELOPMENT EVIDENCE FROM TOPOGRAPHY,,THE LINK BETWEEN THE ECONOMIC STRUCTURE AND FINANCIAL DEVELOPMENT,2-s2.0-77953250944,
DOES FINANCIAL LIBERALIZATION IMPROVE THE ALLOCATION OF INVESTMENT? MICRO EVIDENCE FROM DEVELOPING COUNTRIES,,DOES FINANCIAL LIBERALIZATION IMPROVE THE ALLOCATION OF INVESTMENT?. MICRO-EVIDENCE FROM DEVELOPING COUNTRIES,2-s2.0-33947203154,
DOES FIRM VALUE MOVE TOO MUCH TO BE JUSTIFIED BY SUBSEQUENT CHANGES IN CASH FLOW,12847,DOES FIRM VALUE MOVE TOO MUCH TO BE JUSTIFIED BY SUBSEQUENT CHANGES IN CASH FLOW?,2-s2.0-36849061655,
DOES QUALITY ADJUSTMENT MATTER FOR TECHNOLOGICALLY STABLE PRODUCTS? AN APPLICATION TO THE CPI FOR FOOD,,DOES QUALITY ADJUSTMENT MATTER FOR TECHNOLOGICALLY STABLE PRODUCTS? AN APPLICATION TO THE CPI FOR FOOD,2-s2.0-79958293964,
DOES SHAREHOLDER COMPOSITION AFFECT STOCK RETURNS?,,DOES SHAREHOLDER COMPOSITION AFFECT STOCK RETURNS?,2-s2.0-0142157069,
DOES SHORT-TERM DEBT INCREASE VULNERABILITY TO CRISIS EVIDENCE FROM THE EAST ASIAN FINANCIAL CRISIS,17468,DOES SHORT-TERM DEBT INCREASE VULNERABILITY TO CRISIS? EVIDENCE FROM THE EAST ASIAN FINANCIAL CRISIS,2-s2.0-84873997991,
DOES THE SOURCE OF CAPITAL AFFECT CAPITAL STRUCTURE,9930,DOES THE SOURCE OF CAPITAL AFFECT CAPITAL STRUCTURE?,2-s2.0-29344460646,
DOES URBAN DECAY HARM THE POOR?,12955,IS URBAN DECAY BAD? IS URBAN REVITALIZATION BAD TOO?,2-s2.0-77956191396,
DOING WELL BY DOING GOOD: GREEN OFFICE BUILDINGS,,DOING WELL BY DOING GOOD: GREEN OFFICE BUILDINGS,2-s2.0-78650505936,
DOTCOM MANIA: A SURVEY OF MARKET EFFICIENCY IN THE INTERNET SECTOR,8630,DOTCOM MANIA: THE RISE AND FALL OF INTERNET STOCK PRICES,2-s2.0-0142188086,
DOWN AND OUT: ASSESSING THE WELFARE COSTS OF HOUSEHOLD INVESTMENT MISTAKES,12030,DOWN OR OUT: ASSESSING THE WELFARE COSTS OF HOUSEHOLD INVESTMENT MISTAKES,2-s2.0-38949188939,
DURABILITY OF OUTPUT AND EXPECTED STOCK RETURNS,12986,DURABILITY OF OUTPUT AND EXPECTED STOCK RETURNS,2-s2.0-76349086969,
DYNAMIC AGENCY AND THE Q THEORY OF INVESTMENT,,DYNAMIC AGENCY AND THE Q THEORY OF INVESTMENT,2-s2.0-84869742530,
DYNAMIC BANK RUNS,15482,DYNAMIC DEBT RUNS,2-s2.0-84861583427,
DYNAMIC DEBT RUNS,15482,DYNAMIC DEBT RUNS,2-s2.0-84861583427,
DYNAMIC HIERARCHICAL FACTOR MODELS,,DYNAMIC HIERARCHICAL FACTOR MODELS,2-s2.0-84884956842,
DYNAMIC OPTIMAL TAXATION WITH PRIVATE INFOMATION,,DYNAMIC OPTIMAL TAXATION WITH PRIVATE INFORMATION,2-s2.0-33646452080,
DYNAMIC SEEMINGLY UNRELATED COINTEGRATING REGRESSION,,DYNAMIC SEEMINGLY UNRELATED COINTEGRATING REGRESSIONS,2-s2.0-22144482315,
DYNAMICS OF CORPORATE EARNINGS,,DYNAMICS OF CORPORATE EARNINGS,,FED
EARNINGS ANNOUNCEMENTS AND SYSTEMATIC RISK,,EARNINGS ANNOUNCEMENTS AND SYSTEMATIC RISK,2-s2.0-84954455238,
EARNINGS INEQUALITY AND THE BUSINESS CYCLE,10469,EARNINGS INEQUALITY AND THE BUSINESS CYCLE,2-s2.0-28844435681,
ECONOMIC CATASTROPHE BONDS,,ECONOMIC CATASTROPHE BONDS,2-s2.0-68049103951,
ECONOMIC GROWTH AND SUBJECTIVE WELL-BEING: REASSESSING THE EASTERLIN PARADOX,14282,ECONOMIC GROWTH AND SUBJECTIVE WELL-BEING: REASSESSING THE EASTERLIN PARADOX,2-s2.0-55349103432,
EFFICIENT ESTIMATION OF THE PARAMETER PATH IN UNSTABLE TIME SERIES MODELS,,EFFICIENT ESTIMATION OF THE PARAMETER PATH IN UNSTABLE TIME SERIES MODELS,2-s2.0-77955739998,
EFFICIENT FISCAL POLICY AND AMPLIFICATION,11490,,,
EFFICIENT PREDICTIVE REGRESSIONS,14169,EFFICIENT PREDICTION OF EXCESS RETURNS,2-s2.0-79957524502,
EFFICIENT RECAPITALIZATION,14929,EFFICIENT RECAPITALIZATION,2-s2.0-84872412891,
EFFICIENT TESTS OF STOCK RETURN PREDICTABILITY,10026,EFFICIENT TESTS OF STOCK RETURN PREDICTABILITY,2-s2.0-33745138559,
ELASTICITY OPTIMISM,,ELASTICITY OPTIMISM,2-s2.0-84936877582,
EMPIRICAL AND POLICY PERFORMANCE OF A FORWARD-LOOKING MONETARY MODEL,,EMPIRICAL AND POLICY PERFORMANCE OF A FORWARD-LOOKING MONETARY MODEL,2-s2.0-74349100996,
EMPIRICAL ASSET PRICING AND STATISTICAL POWER IN THE PRESENCE OF WEAK RISK FACTORS,13357,,,
EMPIRICAL EXCHANGE RATE MODELS OF THE NINETIES: ARE ANY FIT TO SURVIVE,9393,EMPIRICAL EXCHANGE RATE MODELS OF THE NINETIES: ARE ANY FIT TO SURVIVE?,2-s2.0-28244433528,
ENDOGENOUS GENTRIFICATION AND HOUSING PRICE DYNAMICS,16237,ENDOGENOUS GENTRIFICATION AND HOUSING PRICE DYNAMICS,2-s2.0-84874786194,
"ENDOGENOUS INFORMATION, MENU COSTS AND INFLATION PERSISTENCE",14184,,,
"ENTREPRENEURIAL ACTIVITY, RISK, AND THE BUSINESS CYCLE",,"ENTREPRENEURIAL ACTIVITY, RISK, AND THE BUSINESS CYCLE",2-s2.0-1642419195,
ENTREPRENEURIAL FINANCE AND NON-DIVERSIFIABLE RISK,14848,ENTREPRENEURIAL FINANCE AND NONDIVERSIFIABLE RISK,2-s2.0-78649476517,
ENTREPRENEURIAL RISK AND AGGREGATE INVESTMENT DYNAMICS,,"ENTREPRENEURIAL RISK, INVESTMENT, AND INNOVATION",2-s2.0-84865547495,
EQUILIBRIUM AND GOVERNMENT COMMITMENT,,EQUILIBRIUM AND GOVERNMENT COMMITMENT,2-s2.0-23844502558,
EQUITY MARKETS AND INSTITUTIONS: THE CASE OF JAPAN,,THE OWNERSHIP OF JAPANESE CORPORATIONS IN THE 20TH CENTURY,2-s2.0-84906234568,
ESTABLISHING CREDIBILITY: EVOLVING PERCEPTIONS OF THE EUROPEAN CENTRAL BANK,11792,,,
ESTIMATING A MODEL OF EXCESS DEMAND FOR PUBLIC HOUSING,,ESTIMATING A MODEL OF EXCESS DEMAND FOR PUBLIC HOUSING,2-s2.0-84887939423,
"ESTIMATING HOUSE PRICES, LTVS, AND FORECLOSURE BEHAVIOR",,ESTIMATING LOAN-TO-VALUE DISTRIBUTIONS,2-s2.0-84955445605,
ESTIMATING STOCHASTIC VOLATILITY DIFFUSIONS USING CONDITIONAL MOMENTS OF INTEGRATED VOLATILITY,,ESTIMATING STOCHASTIC VOLATILITY DIFFUSION USING CONDITIONAL MOMENTS OF INTEGRATED VOLATILITY,2-s2.0-0142013411,
ESTIMATING THE EFFECT OF HIERARCHIES ON INFORMATION USE,,ESTIMATING THE EFFECT OF HIERARCHIES ON INFORMATION USE,2-s2.0-70349459777,
ESTIMATING THE EULER EQUATION FOR OUTPUT,,ESTIMATING THE EULER EQUATION FOR OUTPUT,2-s2.0-4544237605,
ESTIMATION OF MARKOV REGIME-SWITCHING REGRESSION MODELS WITH ENDOGENOUS SWITCHING,,ESTIMATION OF MARKOV REGIME-SWITCHING REGRESSION MODELS WITH ENDOGENOUS SWITCHING,2-s2.0-38949145032,
EULER EQUATION METHODS FOR DISCRETE CHOICE MODELS: A CAPITAL ACCUMULATION APPLICATION,15675,,,
EUROSYSTEM MONETARY TARGETING LESSONS FROM U.S. DATA,7179,EUROSYSTEM MONETARY TARGETING: LESSONS FROM U.S. DATA,2-s2.0-0036186792,
EVALUATING AND INVESTING IN EQUITY MUTUAL FUNDS,7779,EVALUATING THE STYLE-BASED RISK MODEL FOR EQUITY MUTUAL FUNDS INVESTING IN EUROPE,2-s2.0-3142741915,
EVALUATING THE COSTS OF BUSINESS CYCLES IN MODELS OF ENDOGENOUS GROWTH,,EVALUATING THE COSTS OF BUSINESS CYCLES IN MODELS OF ENDOGENOUS GROWTH,2-s2.0-84927966967,
EVALUATING THE ECONOMIC SIGNIFICANCE OF DOWNWARD NOMINAL WAGE RIGIDITY,12611,EVALUATING THE ECONOMIC SIGNIFICANCE OF DOWNWARD NOMINAL WAGE RIGIDITY,2-s2.0-61649096573,
EVAPORATING LIQUIDITY,17653,EVAPORATING LIQUIDITY,2-s2.0-84862991996,
EVIDENCE FOR DYNAMIC CONTRACTS IN SOVEREIGN BANK LENDING,,EVIDENCE FOR RELATIONAL CONTRACTS IN SOVEREIGN BANK LENDING,2-s2.0-84961205240,
EVIDENCE ON THE TRADEOFF BETWEEN RISK AND RETURN FOR IPO AND SEO FIRMS,,EVIDENCE ON THE TRADE-OFF BETWEEN RISK AND RETURN FOR IPO AND SEO FIRMS,2-s2.0-70349906237,
EXCHANGE RATE PASS-THROUGH INTO IMPORT PRICES: A MACRO OR MICRO PHENOMENON,,EXCHANGE RATE PASS-THROUGH INTO IMPORT PRICES,2-s2.0-31544434876,
EXCHANGE RATE PREDICTABILITY AND MONETARY FUNDAMENTALS IN A SMALL MULTI-COUNTRY PANEL,,EXCHANGE RATE PREDICTABILITY AND MONETARY FUNDAMENTALS IN A SMALL MULTI-COUNTRY PANEL,2-s2.0-22544458181,
EXCHANGE RATES AND FUNDAMENTALS,10723,EXCHANGE RATES AND FUNDAMENTALS,2-s2.0-21044437667,
EXCHANGE RATES AND PRODUCER PRICES: EVIDENCE FROM MICRO-DATA,,"PRICING-TO-MARKET, CURRENCY INVOICING AND EXCHANGE RATE PASS-THROUGH TO PRODUCER PRICES",2-s2.0-84941948612,
EXHUMING Q: MARKET POWER VS. CAPITAL MARKET PERFECTIONS,8182,FINANCIAL FRICTIONS AND INVESTMENT: REQUIEM IN Q,2-s2.0-0242676960,
EXPECTATIONS HYPOTHESES TESTS,7609,EXPECTATIONS HYPOTHESES TESTS,2-s2.0-0012842697,
EXPECTED STOCK RETURNS AND VARIANCE RISK PREMIA,,EXPECTED STOCK RETURNS AND VARIANCE RISK PREMIA,2-s2.0-67349223932,
"EXPLAINING CORPORATE CAPITAL STRUCTURE: PRODUCT MARKETS, LEASES, AND ASSET SIMILARITY",,"EXPLAINING CORPORATE CAPITAL STRUCTURE: PRODUCT MARKETS, LEASES, AND ASSET SIMILARITY",2-s2.0-84555177805,
EXTERNAL FINANCE CONSTRAINTS AND THE INTERTEMPORAL PATTERN OF INTERMITTENT INVESTMENT,,EXTERNAL FINANCE CONSTRAINTS AND THE INTERTEMPORAL PATTERN OF INTERMITTENT INVESTMENT,2-s2.0-33746787205,
"EXTERNALITIES FROM RENT CONTROL?EVIDENCE FROM CAMBRIDGE, MA",,"HOUSING MARKET SPILLOVERS: EVIDENCE FROM THE END OF RENT CONTROL IN CAMBRIDGE, MASSACHUSETTS",2-s2.0-84902775160,
FACTOR-GMM ESTIMATION WITH LARGE SETS OF POSSIBLY WEAK INSTRUMENTS,,FACTOR-GMM ESTIMATION WITH LARGE SETS OF POSSIBLY WEAK INSTRUMENTS,2-s2.0-77955269219,
FAIR TREATMENT AND INFLATION PERSISTENCE,9174,,,
FEAR OF FIRE SALES AND THE CREDIT FREEZE,14925,"FEAROF FIRE SALES, ILLIQUIDITY SEEKING, AND CREDIT FREEZES",2-s2.0-80052953338,
"FEAR OF FIRE SALES, ILLIQUIDITY SEEKING, AND CREDIT FREEZES",,"FEAROF FIRE SALES, ILLIQUIDITY SEEKING, AND CREDIT FREEZES",2-s2.0-80052953338,
FEAR OF FLOATING,7993,FEAR OF FLOATING,2-s2.0-0036589495,
FIDUCIARY DUTIES AND EQUITY-DEBTHOLDER CONFLICTS,17661,FIDUCIARY DUTIES AND EQUITY-DEBTHOLDER CONFLICTS,2-s2.0-84861625019,
"FINANCIAL ASSET RETURNS, MARKET TIMING, AND VOLATILITY DYNAMICS",10009,"FINANCIAL ASSET RETURNS, DIRECTION-OF-CHANGE FORECASTING, AND VOLATILITY DYNAMICS",2-s2.0-33748291457,
FINANCIAL CHOICE IN A NON-RICARDIAN MODEL OF TRADE,15528,,,
FINANCIAL CLAUSTROPHOBIA: ASSET PRICING IN ILLIQUID MARKETS,10411,,,
FINANCIAL CONSTRAINTS AND GROWTH: MULTINATIONAL AND LOCAL FIRM RESPONSES TO CURRENCY CRISES,10545,FINANCIAL CONSTRAINTS AND GROWTH: MULTINATIONAL AND LOCAL FIRM RESPONSES TO CURRENCY DEPRECIATIONS,2-s2.0-57349168257,
FINANCIAL CONSTRAINTS ON CORPORATE GOODNESS,18476,,,
"FINANCIAL CONSTRAINTS, ASSET TANGIBILITY, AND CORPORATE INVESTMENT",12087,"FINANCIAL CONSTRAINTS, ASSET TANGIBILITY, AND CORPORATE INVESTMENT",2-s2.0-34548527528,
FINANCIAL CONTRACTING WITH OPTIMISTIC ENTREPRENEURS:THEORY AND EVIDENCE,,FINANCIAL CONTRACTING WITH OPTIMISTIC ENTREPRENEURS,2-s2.0-67649986527,
"FINANCIAL CRISES, CREDIT BOOMS AND EXTERNAL IMBALANCES: 140 YEARS OF LESSONS",16567,"FINANCIAL CRISES, CREDIT BOOMS, AND EXTERNAL IMBALANCES: 140 YEARS OF LESSONS",2-s2.0-79960244095,
"FINANCIAL FRICTIONS, FINANCIAL INTEGRATION AND THE INTERNATIONAL PROPAGATION OF SHOCKS",,"FINANCIAL FRICTIONS, FINANCIAL INTEGRATION AND THE INTERNATIONAL PROPAGATION OF SHOCKS",2-s2.0-84859360726,
"FINANCIAL FRICTIONS, INVESTMENT, AND TOBIN'S Q",13092,"FINANCIAL FRICTIONS, INVESTMENT, AND TOBIN'S Q",2-s2.0-85053721132,
"FINANCIAL INNOVATION, THE DISCOVERY OF RISK, AND THE U.S. CREDIT CRISIS",16020,"FINANCIAL INNOVATION, THE DISCOVERY OF RISK, AND THE U.S. CREDIT CRISIS",2-s2.0-84894467420,
FINANCIAL INTEGRATION AND BUSINESS CYCLE SYNCHRONIZATION,14887,"FINANCIAL REGULATION, FINANCIAL GLOBALIZATION AND THE SYNCHRONIZATION OF ECONOMIC ACTIVITY",2-s2.0-84878161486,
FINANCIAL INTEGRATION AND ENTREPRENEURIAL ACTIVITY: EVIDENCE FROM FOREIGN BANK ENTRY IN EMERGING MARKETS,,FINANCIAL INTEGRATION AND FIRM PERFORMANCE: EVIDENCE FROM FOREIGN BANK ENTRY IN EMERGING MARKETS,2-s2.0-65249168701,
FINANCIAL INTERMEDIATION WITH HETEROGENEOUS AGENTS: TRANSITIONAL DYNAMICS AND POLICY RESPONSES,,THE BASEL ACCORD AND FINANCIAL INTERMEDIATION: THE IMPACT OF POLICY,,FED
